 ceap_07120002             SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp         rchrgn          nloss          no3gw        seepno3        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N            kg        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N             kg            m^3            m^3            m^3
   365    12    31  2001       1       1  aq_071200020101         264.594          4.241         14.658        493.036          8.290         94.465          0.039          0.000          0.000          0.000          0.730          0.000          0.483          0.011          0.000          0.000          0.000
   365    12    31  2001       2       1  aq_071200020102           8.867          4.474          1.577         68.545          6.282         54.798          0.004          0.000          0.000          0.000          0.045          0.000          0.016          0.006          0.000          0.000          0.000
   365    12    31  2001       3       1  aq_071200020103           0.217          4.888          0.335         74.820          9.987         76.616          0.018          0.000          0.000          0.000          0.031          0.000          0.000          0.001          0.000          0.000          0.000
   365    12    31  2001       4       1  aq_071200020201           0.217          4.892          0.323         28.921          8.871         31.833          0.004          0.000          0.000          0.000          0.010          0.000          0.000          0.004          0.000          0.000          0.000
   365    12    31  2001       5       1  aq_071200020202           0.254          4.878          0.366         12.427          4.548         19.624          0.002          0.000          0.000          0.000          0.005          0.000          0.000          0.002          0.000          0.000          0.000
   365    12    31  2001       6       1  aq_071200020203           0.254          4.758          0.725         77.319         11.911         73.406          0.008          0.000          0.000          0.000          0.083          0.000          0.000          0.046          0.000          0.000          0.000
   365    12    31  2001       7       1  aq_071200020204           0.217          4.877          0.369          0.036          1.236         10.583          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001       8       1  aq_071200020205           0.217          4.883          0.352         20.348          7.109         25.022          0.002          0.000          0.000          0.000          0.009          0.000          0.000          0.001          0.000          0.000          0.000
   365    12    31  2001       9       1  aq_071200020206           9.355          4.546          1.547        150.691         10.815        142.521          0.011          0.000          0.000          0.000          0.060          0.000          0.007          0.045          0.000          0.000          0.000
   365    12    31  2001      10       1  aq_071200020301           3.722          4.451          1.647        141.226         12.768        135.400          0.016          0.000          0.000          0.000          0.070          0.000          0.010          0.035          0.000          0.000          0.000
   365    12    31  2001      11       1  aq_071200020302           0.178          4.761          0.716         37.064          5.729         39.884          0.001          0.000          0.000          0.000          0.025          0.000          0.000          0.008          0.000          0.000          0.000
   365    12    31  2001      12       1  aq_071200020303           2.457          4.610          1.175        115.880         10.789        114.633          0.011          0.000          0.000          0.000          0.044          0.000          0.001          0.039          0.000          0.000          0.000
   365    12    31  2001      13       1  aq_071200020304           0.217          4.884          0.347          6.283          3.083         14.983          0.001          0.000          0.000          0.000          0.008          0.000          0.000          0.005          0.000          0.000          0.000
   365    12    31  2001      14       1  aq_071200020305           0.290          4.883          0.352          0.405          1.360         10.755          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      15       1  aq_071200020401           0.254          4.858          0.426         56.229          9.285         58.690          0.009          0.000          0.000          0.000          0.016          0.000          0.000          0.001          0.000          0.000          0.000
   365    12    31  2001      16       1  aq_071200020402           0.217          4.891          0.328         25.845          6.304         31.324          0.013          0.000          0.000          0.000          0.021          0.000          0.000          0.001          0.000          0.000          0.000
   365    12    31  2001      17       1  aq_071200020403           0.254          4.886          0.343          3.683          1.480         13.949          0.000          0.000          0.000          0.000          0.001          0.000          0.000          0.001          0.000          0.000          0.000
   365    12    31  2001      18       1  aq_071200020404           0.290          4.873          0.381         18.597          3.609         26.697          0.000          0.000          0.000          0.000          0.037          0.000          0.000          0.034          0.000          0.000          0.000
   365    12    31  2001      19       1  aq_071200020405           0.290          4.746          0.762         30.992          3.827         38.875          0.002          0.000          0.000          0.000          0.052          0.000          0.000          0.030          0.000          0.000          0.000
   365    12    31  2001      20       1  aq_071200020501           0.784          4.749          0.752         65.761          8.189         68.787          0.004          0.000          0.000          0.000          0.035          0.000          0.001          0.033          0.000          0.000          0.000
   365    12    31  2001      21       1  aq_071200020502           0.254          4.857          0.428         28.930          8.547         32.129          0.008          0.000          0.000          0.000          0.013          0.000          0.000          0.001          0.000          0.000          0.000
   365    12    31  2001      22       1  aq_071200020503           0.217          4.892          0.323         15.359          4.002         23.140          0.003          0.000          0.000          0.000          0.005          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      23       1  aq_071200020504           0.217          4.879          0.362          0.157          1.405         10.536          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      24       1  aq_071200020505           0.217          4.893          0.321          1.497          2.597         10.683          0.001          0.000          0.000          0.000          0.003          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      25       1  aq_071200020506           0.254          4.887          0.340          9.247          8.599         12.394          0.005          0.000          0.000          0.000          0.016          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      26       1  aq_071200020507           0.217          4.892          0.324          5.452          2.207         15.027          0.001          0.000          0.000          0.000          0.001          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      27       1  aq_071200020508           0.217          4.891          0.328          0.676          1.776         10.683          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      28       1  aq_071200020601           0.254          4.877          0.370          0.000          1.200         10.546          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      29       1  aq_071200020602           0.254          4.878          0.365          0.000          1.200         10.546          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      30       1  aq_071200020603           0.217          4.891          0.326          0.166          1.266         10.683          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      31       1  aq_071200020604           0.290          4.876          0.372          5.605          2.587         14.727          0.000          0.000          0.000          0.000          0.005          0.000          0.000          0.004          0.000          0.000          0.000
   365    12    31  2001      32       1  aq_071200020605           0.217          4.897          0.309          0.000          1.050         10.733          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      33       1  aq_071200020606           0.217          4.883          0.351          0.017          1.267         10.533          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
