 ceap_07120002             SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor      temp_stor         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in        temp_in        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out       temp_out
                                                                      ha           ha-m           ha-m           ha-m           m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc          m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc          m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
   365    12    31  2003       1       1  main_1               0.6436E+04     0.1562E+02     0.7959E+08     0.6516E+09     0.1348E+01     0.9573E-04     0.8760E-04     0.4166E-04     0.8483E-02     0.6050E-05     0.7985E-05     0.2574E-06     0.0000E+00     0.0000E+00     0.2396E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9297E+01     0.2345E+02     0.4572E+02     0.5079E+01     0.3591E+03     0.1838E+00     0.1895E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1345E+02     0.1321E+01     0.8525E+00     0.7800E+01     0.5642E+01     0.0000E+00     0.0000E+00     0.7828E+01     0.5053E+05     0.4566E+02     0.5071E+01     0.4474E+03     0.2144E+00     0.1798E+00     0.3672E-01     0.0000E+00     0.0000E+00     0.2897E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2003       2       1  main_2               0.2813E+04     0.7021E+01     0.1213E+08     0.2262E+09     0.6371E+01     0.4523E-03     0.1921E-02     0.2295E-03     0.8677E-01     0.9319E-05     0.4222E-06     0.4989E-05     0.0000E+00     0.0000E+00     0.3624E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1746E+01     0.2744E+02     0.1275E+03     0.1058E+02     0.4971E+03     0.2157E+00     0.1164E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1583E+03     0.2007E+02     0.1623E+01     0.7239E+00     0.7211E+01     0.8931E+01     0.0000E+00     0.0000E+00     0.1918E+01     0.4805E+03     0.1272E+03     0.1055E+02     0.5451E+03     0.2327E+00     0.7128E-02     0.1493E+00     0.0000E+00     0.0000E+00     0.1087E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2003       3       1  main_3               0.8358E+04     0.1789E+02     0.7473E+08     0.4282E+09     0.8903E-01     0.1828E-02     0.8119E-02     0.9547E-03     0.1056E+00     0.4037E-04     0.8113E-05     0.1687E-04     0.1649E-11     0.0000E+00     0.6537E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9303E+01     0.5063E+05     0.2539E+03     0.2384E+02     0.1473E+04     0.8664E+00     0.2390E+00     0.3672E-01     0.0000E+00     0.0000E+00     0.1168E+03     0.4677E+02     0.5155E+01     0.3666E+01     0.3628E+02     0.2896E+02     0.0000E+00     0.0000E+00     0.8611E+01     0.7150E+05     0.2534E+03     0.2378E+02     0.1624E+04     0.9665E+00     0.1841E+00     0.2847E+00     0.1023E-03     0.0000E+00     0.1452E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2003       4       1  main_4               0.4761E+04     0.1161E+02     0.1853E+08     0.2253E+09     0.2675E+01     0.1167E+00     0.2672E-01     0.2439E-02     0.2919E-01     0.1221E-03     0.5118E-08     0.2753E-04     0.8750E-17     0.0000E+00     0.3351E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4003E+00     0.3320E+02     0.9035E+02     0.7935E+01     0.1253E+03     0.1718E+00     0.3109E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7365E+01     0.2568E+01     0.2111E+01     0.1890E+02     0.1069E+02     0.0000E+00     0.0000E+00     0.1177E+01     0.1225E+04     0.9004E+02     0.7907E+01     0.1869E+03     0.2346E+00     0.1883E-03     0.1143E+00     0.3186E-08     0.0000E+00     0.2538E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2003       5       1  main_5               0.7941E+04     0.2173E+02     0.4433E+08     0.4259E+09     0.1149E+02     0.1074E+01     0.5150E-01     0.5179E-02     0.5621E-01     0.1295E-04     0.3873E-07     0.4126E-04     0.0000E+00     0.0000E+00     0.5659E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1129E+01     0.6001E+02     0.2009E+03     0.1848E+02     0.6037E+03     0.3786E+00     0.1604E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.7459E+02     0.2512E+02     0.4149E+01     0.2431E+01     0.2430E+02     0.2069E+02     0.0000E+00     0.0000E+00     0.2624E+01     0.4418E+04     0.2003E+03     0.1843E+02     0.7337E+03     0.6150E+03     0.2276E+02     0.2590E+00     0.0000E+00     0.0000E+00     0.4267E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2003       6       1  main_6               0.5236E+04     0.1428E+02     0.2778E+08     0.4858E+09     0.9658E-03     0.1053E-03     0.7555E-02     0.8286E-03     0.1958E-01     0.2979E-05     0.2402E-05     0.1731E-04     0.0000E+00     0.0000E+00     0.2205E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1398E+01     0.7533E+02     0.1803E+03     0.1621E+02     0.4500E+03     0.5567E+00     0.6677E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1979E+02     0.6830E+01     0.3734E+01     0.3664E+02     0.2721E+02     0.0000E+00     0.0000E+00     0.1924E+01     0.4649E+04     0.1799E+03     0.1617E+02     0.5215E+03     0.5959E+00     0.5147E-01     0.2348E+00     0.0000E+00     0.0000E+00     0.7657E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2003       7       1  main_7               0.6816E+04     0.1379E+02     0.1990E+08     0.5112E+09     0.0000E+00     0.4502E-04     0.1285E-04     0.1859E-04     0.8981E-04     0.3503E-05     0.2584E-05     0.7481E-07     0.0000E+00     0.0000E+00     0.1488E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7856E+00     0.3930E+02     0.9869E+02     0.8800E+01     0.3518E+03     0.2627E+00     0.5378E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5260E+01     0.4592E+01     0.2488E+01     0.2234E+02     0.1429E+02     0.0000E+00     0.0000E+00     0.1468E+01     0.1911E+04     0.9835E+02     0.8767E+01     0.4448E+03     0.2948E+00     0.3748E-01     0.1478E+00     0.0000E+00     0.0000E+00     0.5753E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2003       8       1  main_8               0.1049E+05     0.2595E+02     0.4012E+08     0.6656E+09     0.3655E+02     0.3137E+01     0.8116E-01     0.8257E-02     0.1383E+00     0.4544E+01     0.6302E-01     0.4988E-04     0.0000E+00     0.0000E+00     0.9617E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1311E+01     0.9152E+02     0.2079E+03     0.1886E+02     0.4735E+03     0.4395E+00     0.4127E+05     0.0000E+00     0.0000E+00     0.4204E+06     0.1174E+03     0.2400E+02     0.7041E+01     0.4725E+01     0.4335E+02     0.2918E+02     0.0000E+00     0.0000E+00     0.3027E+01     0.6812E+04     0.2073E+03     0.1881E+02     0.6432E+03     0.2324E+04     0.6055E+02     0.2618E+00     0.0000E+00     0.4120E+06     0.1158E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2003       9       1  main_9               0.1137E+05     0.3033E+02     0.1068E+09     0.9328E+09     0.2195E+00     0.1204E+00     0.5146E-01     0.4712E-02     0.5717E-01     0.2488E-03     0.2851E-05     0.1839E-03     0.4257E-06     0.0000E+00     0.1265E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3774E+01     0.3170E+04     0.2817E+03     0.2527E+02     0.9863E+03     0.8385E+00     0.8806E-01     0.2620E+00     0.3186E-08     0.0000E+00     0.6586E+02     0.1483E+02     0.2384E+01     0.1458E+01     0.1394E+02     0.1094E+02     0.0000E+00     0.0000E+00     0.5167E+01     0.3439E+04     0.2802E+03     0.2513E+02     0.1215E+04     0.9105E+00     0.6366E-01     0.7596E+00     0.1935E-02     0.0000E+00     0.8207E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
