 ceap_07120002             SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor      temp_stor         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in        temp_in        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out       temp_out
                                                                      ha           ha-m           ha-m           ha-m           m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc          m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc          m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
   365    12    31  2001       1       1  main_1               0.1752E+02     0.1722E+02     0.1680E+09     0.8635E+09     0.2793E+02     0.2215E+01     0.1175E-01     0.1179E-02     0.1186E+00     0.9093E-06     0.1293E-05     0.6682E-05     0.0000E+00     0.0000E+00     0.6583E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7388E+01     0.2377E+02     0.5080E+02     0.5018E+01     0.4001E+03     0.2704E+00     0.3638E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1552E+02     0.1334E+01     0.8938E+00     0.8875E+01     0.6457E+01     0.0000E+00     0.0000E+00     0.6741E+01     0.3011E+05     0.5074E+02     0.5013E+01     0.6619E+03     0.2768E+00     0.3567E-01     0.3281E-01     0.0000E+00     0.0000E+00     0.2561E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001       2       1  main_2               0.7704E+01     0.8087E+01     0.1289E+08     0.2715E+09     0.2676E+02     0.1132E+00     0.4827E-01     0.4063E-02     0.1093E+00     0.3494E-05     0.8025E-07     0.3305E-04     0.0000E+00     0.0000E+00     0.7274E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9017E+00     0.2039E+02     0.9584E+02     0.7610E+01     0.2696E+03     0.4806E+00     0.2380E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.4748E+03     0.1504E+02     0.1428E+01     0.5176E+00     0.5168E+01     0.6584E+01     0.0000E+00     0.0000E+00     0.1800E+01     0.1865E+03     0.9553E+02     0.7586E+01     0.4049E+03     0.4889E+00     0.1458E-02     0.1092E+00     0.0000E+00     0.0000E+00     0.1182E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001       3       1  main_3               0.2285E+02     0.1962E+02     0.5336E+08     0.6958E+09     0.2918E+02     0.3579E+01     0.1370E-01     0.1374E-02     0.1385E+00     0.2022E-05     0.1895E-05     0.1699E-04     0.0000E+00     0.0000E+00     0.1555E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8669E+01     0.3020E+05     0.2615E+03     0.2167E+02     0.1438E+04     0.1925E+01     0.7052E-01     0.3281E-01     0.0000E+00     0.0000E+00     0.2891E+03     0.4466E+02     0.5011E+01     0.3543E+01     0.3528E+02     0.2840E+02     0.0000E+00     0.0000E+00     0.1026E+02     0.5600E+05     0.2611E+03     0.2164E+02     0.1873E+04     0.1959E+01     0.6006E-01     0.2956E+00     0.1944E-04     0.0000E+00     0.3140E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001       4       1  main_4               0.1304E+02     0.1134E+02     0.1285E+08     0.2242E+09     0.1409E-06     0.1249E-06     0.6476E-03     0.6127E-04     0.2289E-02     0.9678E-06     0.4836E-08     0.9872E-05     0.0000E+00     0.0000E+00     0.8761E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2463E+00     0.1208E+02     0.3094E+02     0.2605E+01     0.9335E+02     0.1896E+00     0.6644E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2823E+01     0.1103E+01     0.7274E+00     0.6516E+01     0.3739E+01     0.0000E+00     0.0000E+00     0.1706E+01     0.2843E+03     0.3074E+02     0.2588E+01     0.2749E+03     0.2086E+00     0.4154E-04     0.6129E-01     0.0000E+00     0.0000E+00     0.2142E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001       5       1  main_5               0.2175E+02     0.1858E+02     0.4137E+08     0.3713E+09     0.1370E-02     0.1371E-03     0.8268E-02     0.7229E-03     0.6053E-01     0.4051E-05     0.4909E-07     0.3286E-04     0.0000E+00     0.0000E+00     0.3654E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7438E+00     0.3071E+02     0.9704E+02     0.7543E+01     0.4283E+03     0.6303E+00     0.6444E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.1156E+03     0.1216E+02     0.2334E+01     0.1174E+01     0.1173E+02     0.1027E+02     0.0000E+00     0.0000E+00     0.3635E+01     0.2786E+04     0.9654E+02     0.7505E+01     0.8076E+03     0.6419E+00     0.1960E-03     0.1690E+00     0.0000E+00     0.0000E+00     0.6232E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001       6       1  main_6               0.1434E+02     0.1510E+02     0.2997E+08     0.5426E+09     0.5254E-11     0.1117E-04     0.5424E-04     0.7217E-05     0.2292E-03     0.1177E-05     0.1930E-05     0.1416E-06     0.0000E+00     0.0000E+00     0.2243E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1350E+01     0.5317E+02     0.1316E+03     0.1117E+02     0.2522E+03     0.9779E+00     0.2197E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1451E+02     0.5262E+01     0.2661E+01     0.2643E+02     0.1968E+02     0.0000E+00     0.0000E+00     0.2685E+01     0.3489E+04     0.1312E+03     0.1114E+02     0.4596E+03     0.9972E+00     0.1876E-01     0.1960E+00     0.0000E+00     0.0000E+00     0.8220E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001       7       1  main_7               0.1867E+02     0.1200E+02     0.6786E+07     0.7032E+09     0.2026E-05     0.4255E-05     0.4942E-03     0.4595E-04     0.4608E-02     0.6997E-06     0.8703E-06     0.1396E-05     0.0000E+00     0.0000E+00     0.2239E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9466E+00     0.1261E+02     0.2973E+02     0.2563E+01     0.1588E+03     0.4197E+00     0.1190E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1779E+01     0.2225E+01     0.7410E+00     0.6829E+01     0.4471E+01     0.0000E+00     0.0000E+00     0.2274E+01     0.9086E+03     0.2958E+02     0.2551E+01     0.4316E+03     0.4270E+00     0.1009E-01     0.5862E-01     0.0000E+00     0.0000E+00     0.7324E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001       8       1  main_8               0.2873E+02     0.2667E+02     0.3539E+08     0.7908E+09     0.2516E-06     0.1567E-04     0.7920E-04     0.1246E-04     0.6652E-03     0.1541E-05     0.2205E-05     0.2692E-06     0.0000E+00     0.0000E+00     0.2713E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1533E+01     0.8083E+02     0.1744E+03     0.1402E+02     0.2985E+03     0.1163E+01     0.7400E+01     0.0000E+00     0.0000E+00     0.1261E+07     0.9519E+02     0.2189E+02     0.6280E+01     0.4102E+01     0.3779E+02     0.2553E+02     0.0000E+00     0.0000E+00     0.5014E+01     0.6497E+04     0.1740E+03     0.1399E+02     0.7999E+03     0.1492E+01     0.7388E+01     0.2251E+00     0.0000E+00     0.1236E+07     0.7724E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001       9       1  main_9               0.3116E+02     0.2959E+02     0.1198E+09     0.1161E+10     0.2307E-07     0.2076E-04     0.1191E-02     0.1137E-03     0.9618E-02     0.4369E-05     0.2656E-05     0.1387E-04     0.1277E-06     0.0000E+00     0.9301E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5085E+01     0.1215E+04     0.1176E+03     0.9762E+01     0.9371E+03     0.9879E+00     0.2913E-01     0.1199E+00     0.0000E+00     0.0000E+00     0.1822E+03     0.9687E+01     0.1680E+01     0.9009E+00     0.8661E+01     0.6942E+01     0.0000E+00     0.0000E+00     0.8814E+01     0.2572E+04     0.1170E+03     0.9707E+01     0.1604E+04     0.1014E+01     0.2317E-01     0.3729E+00     0.9089E-03     0.0000E+00     0.1997E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001      10       1  main_10              0.1168E+02     0.1169E+02     0.1400E+08     0.4630E+09     0.4393E-04     0.1502E-04     0.1664E-02     0.1641E-03     0.2633E-02     0.1347E-05     0.2361E-05     0.4343E-05     0.0000E+00     0.6231E-18     0.2412E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1575E+01     0.1035E+03     0.3222E+03     0.2489E+02     0.5021E+03     0.3580E+00     0.3018E-01     0.0000E+00     0.0000E+00     0.1830E+08     0.9003E+02     0.4265E+02     0.5972E+01     0.3893E+01     0.3883E+02     0.3427E+02     0.0000E+00     0.0000E+00     0.2584E+01     0.2706E+03     0.3213E+03     0.2483E+02     0.6788E+03     0.3963E+00     0.2456E-01     0.4717E+00     0.0000E+00     0.1808E+08     0.5112E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001      11       1  main_11              0.7869E+01     0.7493E+01     0.1659E+08     0.1827E+09     0.2706E+02     0.1046E+00     0.1011E+00     0.9893E-02     0.4537E-01     0.5079E-05     0.2479E-07     0.6044E-04     0.0000E+00     0.0000E+00     0.6402E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1090E+01     0.9766E+02     0.2351E+03     0.2257E+02     0.2619E+03     0.6767E+00     0.6577E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.1016E+03     0.4451E+02     0.5636E+01     0.4461E+01     0.4399E+02     0.3080E+02     0.0000E+00     0.0000E+00     0.1926E+01     0.2889E+03     0.2343E+03     0.2250E+02     0.3823E+03     0.6967E+00     0.3089E-03     0.2530E+00     0.0000E+00     0.0000E+00     0.6494E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001      12       1  main_12              0.1427E+02     0.1457E+02     0.1493E+09     0.6079E+09     0.3119E+02     0.1610E+01     0.5068E-01     0.4269E-02     0.1155E+00     0.6105E-05     0.2023E-05     0.6244E-04     0.6724E-07     0.0000E+00     0.1549E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5771E+01     0.2333E+03     0.2035E+03     0.1613E+02     0.8714E+03     0.1235E+01     0.1537E+00     0.1092E+00     0.0000E+00     0.0000E+00     0.2425E+03     0.2294E+02     0.2643E+01     0.1617E+01     0.1566E+02     0.1376E+02     0.0000E+00     0.0000E+00     0.5649E+01     0.9878E+04     0.2030E+03     0.1610E+02     0.1174E+04     0.1275E+01     0.1446E+00     0.3392E+00     0.3768E-03     0.0000E+00     0.2676E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001      13       1  main_13              0.2495E+02     0.2078E+02     0.5546E+08     0.1062E+10     0.1649E+00     0.2100E-04     0.9715E-03     0.9397E-04     0.2814E-02     0.2181E-05     0.3905E-05     0.2313E-05     0.0000E+00     0.0000E+00     0.3027E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2108E+01     0.6305E+02     0.1733E+03     0.1490E+02     0.3483E+03     0.1379E+01     0.4599E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.9865E+02     0.1695E+02     0.5063E+01     0.3538E+01     0.3278E+02     0.2296E+02     0.0000E+00     0.0000E+00     0.4326E+01     0.4486E+04     0.1730E+03     0.1487E+02     0.7833E+03     0.1403E+01     0.4078E-01     0.1911E+00     0.0000E+00     0.0000E+00     0.2627E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001      14       1  main_14              0.4410E+02     0.3523E+02     0.1847E+09     0.1138E+10     0.4982E+02     0.2060E+01     0.1177E+00     0.1154E-01     0.1949E+00     0.3249E-04     0.2521E-05     0.1244E-03     0.1158E-06     0.1402E-18     0.3292E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1620E+02     0.5663E+05     0.9636E+03     0.8228E+02     0.3504E+04     0.3534E+01     0.9964E-01     0.1020E+01     0.1944E-04     0.1808E+08     0.7762E+03     0.2334E+02     0.6896E+01     0.2957E+01     0.2868E+02     0.2260E+02     0.0000E+00     0.0000E+00     0.2019E+02     0.3692E+05     0.9613E+03     0.8211E+02     0.4537E+04     0.3630E+01     0.8668E-01     0.2121E+01     0.4742E-02     0.1789E+08     0.8107E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001      15       1  main_15              0.2430E+02     0.2231E+02     0.5058E+08     0.8199E+09     0.2843E+00     0.5161E-03     0.3075E-02     0.3328E-03     0.2994E-01     0.7288E-05     0.8478E-06     0.7371E-05     0.0000E+00     0.0000E+00     0.2872E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1668E+01     0.5047E+02     0.8441E+02     0.6867E+01     0.3681E+03     0.5528E+00     0.3844E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.2025E+03     0.2634E+02     0.4051E+01     0.1448E+01     0.1419E+02     0.1313E+02     0.0000E+00     0.0000E+00     0.4340E+01     0.6324E+04     0.8418E+02     0.6849E+01     0.7640E+03     0.1552E+02     0.5805E+02     0.1197E+00     0.0000E+00     0.0000E+00     0.1018E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001      16       1  main_16              0.3058E+02     0.2646E+02     0.1062E+09     0.9346E+09     0.4454E+02     0.1370E+01     0.7430E-01     0.6426E-02     0.2162E+00     0.3099E-04     0.5027E-05     0.1393E-03     0.2805E-06     0.0000E+00     0.3308E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2321E+02     0.2719E+05     0.8975E+03     0.7304E+02     0.4415E+04     0.6648E+01     0.7647E+01     0.1120E+01     0.3768E-03     0.1236E+07     0.9611E+03     0.1935E+02     0.4013E+01     0.2915E+01     0.2500E+02     0.1868E+02     0.0000E+00     0.0000E+00     0.2477E+02     0.2739E+05     0.8950E+03     0.7284E+02     0.5246E+04     0.7080E+01     0.7612E+01     0.2350E+01     0.5908E-02     0.1220E+07     0.1011E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001      17       1  main_17              0.1971E+02     0.1572E+02     0.2783E+08     0.4656E+09     0.4345E+01     0.8763E+00     0.2521E-01     0.2498E-02     0.7115E-01     0.1206E-03     0.2983E-06     0.1859E-04     0.0000E+00     0.0000E+00     0.3594E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1245E+01     0.1094E+03     0.2320E+03     0.2196E+02     0.5376E+03     0.2583E+01     0.6405E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2064E+02     0.1017E+02     0.5650E+01     0.5444E+02     0.4260E+02     0.0000E+00     0.0000E+00     0.3504E+01     0.8110E+04     0.2314E+03     0.2191E+02     0.8669E+03     0.2604E+01     0.4178E-02     0.2393E+00     0.0000E+00     0.0000E+00     0.6243E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001      18       1  main_18              0.1338E+01     0.1265E+01     0.2055E+07     0.2795E+08     0.4347E-01     0.2520E-05     0.3975E-02     0.4225E-03     0.1376E-01     0.1589E-05     0.3107E-07     0.1621E-04     0.0000E+00     0.0000E+00     0.2359E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5707E+00     0.4499E+02     0.9051E+02     0.8749E+01     0.2101E+03     0.4782E+00     0.1938E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8238E+01     0.4174E+01     0.2701E+01     0.2494E+02     0.1735E+02     0.0000E+00     0.0000E+00     0.7208E+00     0.3054E+03     0.8986E+02     0.8690E+01     0.2371E+03     0.5093E+00     0.1117E-03     0.1804E+00     0.5330E-08     0.0000E+00     0.3635E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001      19       1  main_19              0.2917E+02     0.2851E+02     0.9910E+08     0.1078E+10     0.5620E+02     0.2015E+01     0.1513E+00     0.1486E-01     0.2779E+00     0.1244E-03     0.5243E-05     0.2403E-03     0.4430E-06     0.2635E-18     0.5665E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4069E+02     0.5402E+05     0.1597E+04     0.1393E+03     0.8279E+04     0.2375E+02     0.5822E+02     0.2853E+01     0.5651E-02     0.1789E+08     0.1798E+04     0.2997E+02     0.6948E+01     0.4605E+01     0.4014E+02     0.3047E+02     0.0000E+00     0.0000E+00     0.4242E+02     0.4546E+05     0.1594E+04     0.1390E+03     0.9117E+04     0.2635E+02     0.5817E+02     0.4660E+01     0.1919E-01     0.1767E+08     0.1865E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001      20       1  main_20              0.4497E+01     0.4657E+01     0.6249E+07     0.1120E+09     0.1645E+01     0.2107E-02     0.1577E-01     0.1484E-02     0.3502E-01     0.9562E-05     0.1173E-06     0.2242E-04     0.0000E+00     0.0000E+00     0.2503E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1059E+01     0.5362E+02     0.1474E+03     0.1258E+02     0.3809E+03     0.1620E+01     0.2091E-02     0.0000E+00     0.0000E+00     0.3663E+06     0.1153E+03     0.2784E+02     0.3334E+01     0.2178E+01     0.2081E+02     0.1884E+02     0.0000E+00     0.0000E+00     0.1522E+01     0.1794E+04     0.1469E+03     0.1254E+02     0.4457E+03     0.1637E+01     0.1021E-02     0.2132E+00     0.0000E+00     0.3621E+06     0.6576E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001      21       1  main_21              0.1278E+02     0.1129E+02     0.1161E+08     0.3111E+09     0.1847E-02     0.2841E-02     0.1311E-01     0.1184E-02     0.1503E+00     0.8194E-05     0.9848E-07     0.3089E-04     0.0000E+00     0.0000E+00     0.3144E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8883E+00     0.3244E+02     0.9150E+02     0.6441E+01     0.3323E+03     0.1851E+01     0.2835E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1871E+03     0.9606E+01     0.2592E+01     0.1466E+01     0.1445E+02     0.1134E+02     0.0000E+00     0.0000E+00     0.2363E+01     0.2537E+03     0.9096E+02     0.6403E+01     0.5443E+03     0.1865E+01     0.1099E-02     0.1859E+00     0.0000E+00     0.0000E+00     0.7740E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001      22       1  main_22              0.6166E+02     0.5223E+02     0.3089E+09     0.2436E+10     0.3571E+02     0.1203E+01     0.7565E-01     0.6597E-02     0.2201E+00     0.3580E-04     0.6257E-05     0.1802E-03     0.5542E-06     0.0000E+00     0.4565E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2835E+02     0.2773E+05     0.1048E+04     0.8718E+02     0.5670E+04     0.8582E+01     0.7686E+01     0.2531E+01     0.5908E-02     0.1220E+07     0.1366E+04     0.8502E+01     0.2550E+01     0.1358E+01     0.1284E+02     0.1119E+02     0.0000E+00     0.0000E+00     0.3424E+02     0.3152E+05     0.1044E+04     0.8692E+02     0.7423E+04     0.9053E+01     0.7654E+01     0.4084E+01     0.2002E-01     0.1200E+07     0.1421E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001      23       1  main_23              0.1586E+02     0.1338E+02     0.2790E+08     0.3827E+09     0.1348E+02     0.2154E+01     0.8439E-01     0.8183E-02     0.8617E-01     0.4030E-04     0.2716E-06     0.4718E-04     0.0000E+00     0.0000E+00     0.3759E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9809E+00     0.7923E+02     0.1625E+03     0.1503E+02     0.3566E+03     0.1150E+01     0.1129E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9008E+01     0.7553E+01     0.4277E+01     0.4081E+02     0.3175E+02     0.0000E+00     0.0000E+00     0.2457E+01     0.6822E+04     0.1622E+03     0.1500E+02     0.5760E+03     0.1165E+01     0.8071E-02     0.1477E+00     0.0000E+00     0.0000E+00     0.5126E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
