 ceap_07120002             SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                    flo_in          aqu_in         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm 
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm 
   365    12    31  2003       1       1  main_1               0.2547E-01     0.1463E-01     0.2145E-01     0.8151E+00     0.2345E+02     0.5053E+05     0.1172E+02     0.0000E+00     0.8624E+00     0.4620E+05     0.1596E+04     0.2724E+04     0.1206E+02     0.1001E+01     0.1035E-02     0.4785E-01     0.1443E-01     0.5038E+00     0.1165E+04     0.6694E+03     0.9811E+03
   365    12    31  2003       2       1  main_2               0.4784E-02     0.1338E-02     0.5255E-02     0.1531E+00     0.2744E+02     0.4805E+03     0.1372E+02     0.0000E+00     0.2890E+01     0.0000E+00     0.2727E+02     0.4395E+03     0.1518E+02     0.8528E+00     0.1000E-02     0.0000E+00     0.8137E-03     0.7749E-01     0.2285E+03     0.6390E+02     0.2510E+03
   365    12    31  2003       3       1  main_3               0.2549E-01     0.1818E-05     0.2359E-01     0.8156E+00     0.5063E+05     0.7150E+05     0.2532E+05     0.0000E+00     0.1724E+04     0.4087E+05     0.8931E+03     0.4418E+04     0.1789E+02     0.1139E+01     0.1028E-02     0.3261E-01     0.8304E-02     0.4953E+00     0.1024E+04     0.7303E-01     0.9478E+03
   365    12    31  2003       4       1  main_4               0.1097E-02     0.1019E-05     0.3226E-02     0.3510E-01     0.3320E+02     0.1225E+04     0.1660E+02     0.0000E+00     0.2430E+01     0.1129E+04     0.3544E+02     0.4437E+02     0.1024E+02     0.6813E+00     0.1017E-02     0.1581E-02     0.5292E-03     0.1458E-01     0.7850E+02     0.7291E-01     0.2309E+03
   365    12    31  2003       5       1  main_5               0.3095E-02     0.2299E-05     0.7190E-02     0.9902E-01     0.6001E+02     0.4419E+04     0.3000E+02     0.0000E+00     0.2818E+01     0.4089E+04     0.1017E+03     0.1979E+03     0.1493E+02     0.8556E+00     0.1010E-02     0.3432E-02     0.1044E-02     0.3515E-01     0.1152E+03     0.8562E-01     0.2678E+03
   365    12    31  2003       6       1  main_6               0.3830E-02     0.1535E-05     0.5273E-02     0.1226E+00     0.7533E+02     0.4649E+04     0.3766E+02     0.0000E+00     0.4412E+01     0.4329E+04     0.1075E+03     0.1750E+03     0.1118E+02     0.7401E+00     0.1179E-02     0.5512E-02     0.1467E-02     0.4846E-01     0.2137E+03     0.8560E-01     0.2941E+03
   365    12    31  2003       7       1  main_7               0.2152E-02     0.1408E-05     0.4021E-02     0.6887E-01     0.3930E+02     0.1911E+04     0.1965E+02     0.0000E+00     0.4019E+01     0.1803E+04     0.3173E+02     0.5609E+02     0.1147E+02     0.7296E+00     0.1199E-02     0.1764E-02     0.3451E-03     0.1534E-01     0.1116E+03     0.7304E-01     0.2085E+03
   365    12    31  2003       8       1  main_8               0.3591E-02     0.1836E-05     0.8294E-02     0.1149E+00     0.9152E+02     0.6813E+04     0.4576E+02     0.0000E+00     0.4830E+01     0.6393E+04     0.1525E+03     0.2210E+03     0.1539E+02     0.8831E+00     0.1237E-02     0.4064E-02     0.1197E-02     0.3725E-01     0.1426E+03     0.7293E-01     0.3294E+03
   365    12    31  2003       9       1  main_9               0.1034E-01     0.3593E-03     0.1415E-01     0.3308E+00     0.3170E+04     0.3439E+04     0.1585E+04     0.0000E+00     0.1163E+04     0.0000E+00     0.2296E+03     0.1625E+04     0.2179E+02     0.1061E+01     0.1000E-02     0.0000E+00     0.1954E-02     0.1605E+00     0.6442E+03     0.2239E+02     0.8819E+03
