 ceap_07120002             SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                    flo_in          aqu_in         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm 
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm 
   365    12    31  2001       1       1  main_1               0.2024E-01     0.5781E-02     0.1847E-01     0.6477E+00     0.2377E+02     0.3011E+05     0.1189E+02     0.0000E+00     0.1584E+00     0.2814E+05     0.9591E+03     0.9947E+03     0.1198E+02     0.7518E+00     0.1052E-02     0.2931E-01     0.1069E-01     0.2379E+00     0.9259E+03     0.2644E+03     0.8449E+03
   365    12    31  2001       2       1  main_2               0.2470E-02     0.1872E-03     0.4931E-02     0.7905E-01     0.2039E+02     0.1866E+03     0.1019E+02     0.0000E+00     0.1983E+01     0.0000E+00     0.2257E+02     0.1538E+03     0.1518E+02     0.8528E+00     0.1000E-02     0.0000E+00     0.6733E-03     0.2713E-01     0.1180E+03     0.8941E+01     0.2355E+03
   365    12    31  2001       3       1  main_3               0.2375E-01     0.5454E-05     0.2810E-01     0.7600E+00     0.3020E+05     0.5601E+05     0.1510E+05     0.0000E+00     0.6503E+03     0.3716E+05     0.1026E+04     0.2720E+04     0.1785E+02     0.9783E+00     0.1040E-02     0.2970E-01     0.1053E-01     0.3484E+00     0.9541E+03     0.2191E+00     0.1129E+04
   365    12    31  2001       4       1  main_4               0.6749E-03     0.3056E-05     0.4675E-02     0.2160E-01     0.1208E+02     0.2843E+03     0.6038E+01     0.0000E+00     0.1830E+01     0.2573E+03     0.3862E+01     0.1704E+02     0.1023E+02     0.6721E+00     0.1017E-02     0.3605E-03     0.5824E-04     0.5655E-02     0.4830E+02     0.2187E+00     0.3346E+03
   365    12    31  2001       5       1  main_5               0.2038E-02     0.6897E-05     0.9960E-02     0.6521E-01     0.3071E+02     0.2786E+04     0.1535E+02     0.0000E+00     0.2463E+01     0.2574E+04     0.5332E+02     0.1427E+03     0.1493E+02     0.8470E+00     0.1011E-02     0.2162E-02     0.5581E-03     0.2573E-01     0.7590E+02     0.2569E+00     0.3709E+03
   365    12    31  2001       6       1  main_6               0.3699E-02     0.4604E-05     0.7356E-02     0.1184E+00     0.5317E+02     0.3489E+04     0.2659E+02     0.0000E+00     0.4009E+01     0.3249E+04     0.7188E+02     0.1414E+03     0.1117E+02     0.7141E+00     0.1181E-02     0.4140E-02     0.1011E-02     0.4041E-01     0.2063E+03     0.2568E+00     0.4103E+03
   365    12    31  2001       7       1  main_7               0.2593E-02     0.4225E-05     0.6230E-02     0.8299E-01     0.1261E+02     0.9085E+03     0.6304E+01     0.0000E+00     0.2783E+01     0.8606E+03     0.3244E+01     0.3840E+02     0.1146E+02     0.7220E+00     0.1200E-02     0.8419E-03     0.3571E-04     0.1061E-01     0.1345E+03     0.2191E+00     0.3231E+03
   365    12    31  2001       8       1  main_8               0.4200E-02     0.5509E-05     0.1374E-01     0.1344E+00     0.8083E+02     0.6497E+04     0.4041E+02     0.0000E+00     0.4300E+01     0.6102E+04     0.1389E+03     0.2155E+03     0.1539E+02     0.8692E+00     0.1238E-02     0.3880E-02     0.1109E-02     0.3696E-01     0.1668E+03     0.2188E+00     0.5456E+03
   365    12    31  2001       9       1  main_9               0.1393E-01     0.1520E-03     0.2415E-01     0.4458E+00     0.1215E+04     0.2571E+04     0.6073E+03     0.0000E+00     0.5058E+03     0.0000E+00     0.4654E+03     0.1499E+04     0.2179E+02     0.1061E+01     0.1000E-02     0.0000E+00     0.3962E-02     0.1481E+00     0.8681E+03     0.9470E+01     0.1505E+04
   365    12    31  2001      10       1  main_10              0.4314E-02     0.7998E-04     0.7081E-02     0.1381E+00     0.1035E+03     0.2706E+03     0.5174E+02     0.0000E+00     0.1540E+02     0.0000E+00     0.4732E+02     0.1715E+03     0.1186E+02     0.7347E+00     0.1000E-02     0.0000E+00     0.8451E-03     0.4493E-01     0.2030E+03     0.3762E+01     0.3331E+03
   365    12    31  2001      11       1  main_11              0.2987E-02     0.3794E-05     0.5277E-02     0.9559E-01     0.9766E+02     0.2890E+03     0.4883E+02     0.0000E+00     0.5253E+01     0.0000E+00     0.5182E+02     0.1883E+03     0.1184E+02     0.7337E+00     0.1000E-02     0.0000E+00     0.1372E-02     0.4950E-01     0.1415E+03     0.1797E+00     0.2499E+03
   365    12    31  2001      12       1  main_12              0.1581E-01     0.5470E-04     0.1548E-01     0.5059E+00     0.2333E+03     0.9880E+04     0.1167E+03     0.0000E+00     0.2446E+01     0.8348E+04     0.1940E+03     0.1221E+04     0.2125E+02     0.1069E+01     0.1281E-02     0.1069E-01     0.3534E-02     0.1229E+00     0.7106E+03     0.2459E+01     0.6957E+03
   365    12    31  2001      13       1  main_13              0.5776E-02     0.5067E-05     0.1185E-01     0.1848E+00     0.6305E+02     0.4486E+04     0.3152E+02     0.0000E+00     0.2655E+01     0.4159E+04     0.7769E+02     0.2182E+03     0.1536E+02     0.8638E+00     0.1008E-02     0.3045E-02     0.7152E-03     0.3752E-01     0.2494E+03     0.2188E+00     0.5118E+03
   365    12    31  2001      14       1  main_14              0.4439E-01     0.6947E-05     0.5531E-01     0.1420E+01     0.5663E+05     0.3692E+05     0.2832E+05     0.0000E+00     0.1724E+05     0.0000E+00     0.1978E+04     0.6631E+04     0.2515E+02     0.1157E+01     0.1000E-02     0.0000E+00     0.1259E-01     0.5203E+00     0.1876E+04     0.2936E+00     0.2338E+04
   365    12    31  2001      15       1  main_15              0.4570E-02     0.8214E-05     0.1189E-01     0.1462E+00     0.5047E+02     0.6324E+04     0.2524E+02     0.0000E+00     0.3071E+01     0.5947E+04     0.1844E+03     0.1675E+03     0.1367E+02     0.8108E+00     0.1049E-02     0.4471E-02     0.1661E-02     0.3469E-01     0.1438E+03     0.2585E+00     0.3742E+03
   365    12    31  2001      16       1  main_16              0.6358E-01     0.3976E-05     0.6788E-01     0.2035E+01     0.2719E+05     0.2739E+05     0.1360E+05     0.0000E+00     0.6628E+04     0.0000E+00     0.1167E+04     0.1263E+05     0.3178E+02     0.1333E+01     0.1000E-02     0.0000E+00     0.1175E-01     0.6808E+00     0.3524E+04     0.2204E+00     0.3762E+04
   365    12    31  2001      17       1  main_17              0.3411E-02     0.9026E-05     0.9600E-02     0.1092E+00     0.1094E+03     0.8111E+04     0.5468E+02     0.0000E+00     0.2197E+01     0.7681E+04     0.2077E+03     0.1678E+03     0.1415E+02     0.8249E+00     0.1593E-02     0.7118E-02     0.2317E-02     0.3265E-01     0.9729E+02     0.2574E+00     0.2738E+03
   365    12    31  2001      18       1  main_18              0.1564E-02     0.4139E-05     0.1975E-02     0.5003E-01     0.4499E+02     0.3054E+03     0.2249E+02     0.0000E+00     0.4369E+01     0.1085E+03     0.1793E+01     0.1726E+03     0.1593E+02     0.8793E+00     0.1261E-02     0.1481E-02     0.3131E-03     0.2810E-01     0.1112E+03     0.2943E+00     0.1404E+03
   365    12    31  2001      19       1  main_19              0.1115E+00     0.9949E-05     0.1162E+00     0.3568E+01     0.5402E+05     0.4547E+05     0.2701E+05     0.0000E+00     0.1396E+05     0.0000E+00     0.1822E+04     0.1664E+05     0.3428E+02     0.1395E+01     0.1000E-02     0.0000E+00     0.1982E-01     0.7943E+00     0.3282E+04     0.2929E+00     0.3421E+04
   365    12    31  2001      20       1  main_20              0.2902E-02     0.1156E-04     0.4170E-02     0.9286E-01     0.5362E+02     0.1794E+04     0.2681E+02     0.0000E+00     0.4521E+01     0.1545E+04     0.4261E+02     0.1798E+03     0.1035E+02     0.6867E+00     0.1132E-02     0.6275E-02     0.1848E-02     0.5766E-01     0.2013E+03     0.8017E+00     0.2892E+03
   365    12    31  2001      21       1  main_21              0.2434E-02     0.4549E-05     0.6474E-02     0.7788E-01     0.3244E+02     0.2537E+03     0.1622E+02     0.0000E+00     0.7518E+01     0.0000E+00     0.2000E+02     0.2175E+03     0.1370E+02     0.8016E+00     0.1000E-02     0.0000E+00     0.3455E-03     0.4522E-01     0.1384E+03     0.2587E+00     0.3683E+03
   365    12    31  2001      22       1  main_22              0.7768E-01     0.3646E-05     0.9380E-01     0.2486E+01     0.2773E+05     0.3152E+05     0.1386E+05     0.0000E+00     0.3536E+04     0.0000E+00     0.2487E+04     0.1517E+05     0.3473E+02     0.1406E+01     0.1000E-02     0.0000E+00     0.1286E-01     0.7091E+00     0.4667E+04     0.2191E+00     0.5636E+04
   365    12    31  2001      23       1  main_23              0.2687E-02     0.3191E-05     0.6731E-02     0.8599E-01     0.7923E+02     0.6824E+04     0.3961E+02     0.0000E+00     0.9554E+00     0.6470E+04     0.1899E+03     0.1247E+03     0.1038E+02     0.6881E+00     0.1646E-02     0.7449E-02     0.2318E-02     0.3981E-01     0.1851E+03     0.2198E+00     0.4636E+03
   365    12    31  2001      24       1  main_24              0.4261E-02     0.5662E-05     0.6557E-02     0.1363E+00     0.7919E+02     0.3543E+03     0.3960E+02     0.0000E+00     0.1618E+02     0.0000E+00     0.4312E+02     0.2716E+03     0.1487E+02     0.8424E+00     0.1000E-02     0.0000E+00     0.1186E-02     0.4949E-01     0.1646E+03     0.2188E+00     0.2534E+03
   365    12    31  2001      25       1  main_25              0.1353E-01     0.5577E-05     0.1466E-01     0.4330E+00     0.7124E+04     0.6225E+04     0.3562E+04     0.0000E+00     0.2863E+04     0.1228E+04     0.1118E+03     0.1323E+04     0.1731E+02     0.9411E+00     0.1000E-02     0.5088E-02     0.6070E-02     0.1858E+00     0.6274E+03     0.2585E+00     0.6796E+03
   365    12    31  2001      26       1  main_26              0.1289E+00     0.2149E-05     0.1296E+00     0.4124E+01     0.4763E+05     0.4904E+05     0.2381E+05     0.0000E+00     0.5910E+04     0.0000E+00     0.8194E+03     0.2441E+05     0.3738E+02     0.1470E+01     0.1000E-02     0.0000E+00     0.2071E-01     0.1014E+01     0.1337E+05     0.2229E+00     0.1345E+05
   365    12    31  2001      27       1  main_27              0.1183E+00     0.2569E-05     0.1264E+00     0.3787E+01     0.3802E+05     0.4041E+05     0.1901E+05     0.0000E+00     0.5792E+04     0.0000E+00     0.1646E+04     0.1975E+05     0.3765E+02     0.1477E+01     0.1000E-02     0.0000E+00     0.1760E-01     0.8112E+00     0.1017E+05     0.2209E+00     0.1086E+05
   365    12    31  2001      28       1  main_28              0.1075E-02     0.3502E-05     0.4654E-02     0.3440E-01     0.2721E+02     0.7930E+03     0.1361E+02     0.0000E+00     0.3724E+01     0.7254E+03     0.7803E+01     0.4622E+02     0.1014E+02     0.6695E+00     0.1138E-02     0.1150E-02     0.1323E-03     0.1553E-01     0.7891E+02     0.2571E+00     0.3417E+03
   365    12    31  2001      29       1  main_29              0.2199E-02     0.3966E-05     0.5583E-02     0.7035E-01     0.5794E+02     0.3732E+04     0.2897E+02     0.0000E+00     0.2441E+01     0.3503E+04     0.1095E+03     0.9076E+02     0.1059E+02     0.6971E+00     0.1437E-02     0.5338E-02     0.1803E-02     0.2818E-01     0.1428E+03     0.2575E+00     0.3626E+03
   365    12    31  2001      30       1  main_30              0.4986E-02     0.5544E-05     0.7440E-02     0.1595E+00     0.1574E+03     0.6146E+04     0.7871E+02     0.0000E+00     0.2488E+01     0.5597E+04     0.1920E+03     0.2788E+03     0.1263E+02     0.7890E+00     0.1220E-02     0.1020E-01     0.4013E-02     0.6467E-01     0.1970E+03     0.2190E+00     0.2939E+03
   365    12    31  2001      31       1  main_31              0.2987E-02     0.3838E-05     0.6273E-02     0.9560E-01     0.4827E+02     0.3189E+03     0.2414E+02     0.0000E+00     0.3791E+01     0.0000E+00     0.1417E+02     0.2806E+03     0.1645E+02     0.8955E+00     0.1000E-02     0.0000E+00     0.3449E-03     0.4348E-01     0.2279E+03     0.2927E+00     0.4784E+03
   365    12    31  2001      32       1  main_32              0.1915E-02     0.3833E-05     0.8939E-02     0.6128E-01     0.4111E+02     0.4443E+04     0.2056E+02     0.0000E+00     0.3548E+01     0.4201E+04     0.1071E+03     0.1142E+03     0.1108E+02     0.7131E+00     0.1154E-02     0.3554E-02     0.9994E-03     0.3314E-01     0.1096E+03     0.2193E+00     0.5115E+03
   365    12    31  2001      33       1  main_33              0.2372E-02     0.3441E-05     0.5822E-02     0.7592E-01     0.4267E+02     0.4539E+04     0.2133E+02     0.0000E+00     0.1977E+01     0.4225E+04     0.1335E+03     0.1583E+03     0.1068E+02     0.7014E+00     0.1268E-02     0.6506E-02     0.2218E-02     0.4850E-01     0.1507E+03     0.2185E+00     0.3697E+03
