 ceap_07120002             SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   365    12    31  2003       1    corn                    10028.384    4512.773     175.497      25.071
   365    12    31  2003       2    corn                    13121.177    5904.530     229.621      32.803
   365    12    31  2003       3    soyb                     2435.401    1095.930      40.309      18.753
   365    12    31  2003       3    corn                    10455.719    4705.073     182.975      26.139
   365    12    31  2003       4    corn                     9704.039    4366.817     169.821      24.260
   365    12    31  2003       4    soyb                     2605.813    1172.616      97.311      20.065
   365    12    31  2003       5    corn                    12158.487    5471.319     212.774      30.396
   365    12    31  2003       5    soyb                     3744.594    1685.068     139.857      28.833
   365    12    31  2003       6    soyb                     2592.010    1166.405     115.072      19.958
   365    12    31  2003       6    corn                    11190.912    5035.910     195.841      27.977
   365    12    31  2003       7    soyb                     2546.766    1146.045      77.148      19.610
   365    12    31  2003       7    corn                    10756.794    4840.558     188.244      26.892
   365    12    31  2003       8    corn                     9882.984    4447.343     172.952      24.707
   365    12    31  2003       8    soyb                     2884.128    1297.858     107.687      22.208
   365    12    31  2003       9    corn                    11583.952    5212.778     202.719      28.960
   365    12    31  2003       9    soyb                     3513.972    1581.287     131.167      27.058
   365    12    31  2003      10    soyb                     2435.644    1096.040      29.216      18.754
   365    12    31  2003      10    corn                     9860.005    4437.002     172.550      24.650
   365    12    31  2003      11    soyb                     3431.602    1544.221     146.704      26.423
   365    12    31  2003      11    corn                    13488.069    6069.631     236.041      33.720
   365    12    31  2003      12    corn                    11643.127    5239.407     203.755      29.108
   365    12    31  2003      12    soyb                     3875.253    1743.864     144.838      29.839
   365    12    31  2003      13    soyb                     2435.644    1096.040      29.216      18.754
   365    12    31  2003      13    corn                     9860.005    4437.002     172.550      24.650
   365    12    31  2003      14    soyb                     2903.332    1306.499      77.914      22.356
   365    12    31  2003      14    corn                    13796.854    6208.584     241.445      34.492
   365    12    31  2003      15    soyb                     3972.186    1787.484     145.920      30.586
   365    12    31  2003      15    corn                    14674.747    6603.636     256.808      36.687
   365    12    31  2003      16    soyb                     2676.611    1204.475      58.064      20.610
   365    12    31  2003      16    corn                    11433.481    5145.067     200.086      28.584
   365    12    31  2003      17    soyb                     3971.175    1787.029     152.567      30.578
   365    12    31  2003      17    corn                    14876.692    6694.512     260.342      37.192
   365    12    31  2003      18    corn                    12158.487    5471.319     212.774      30.396
   365    12    31  2003      18    soyb                     3744.594    1685.068     139.857      28.833
   365    12    31  2003      19    soyb                     2871.290    1292.081      80.691      22.109
   365    12    31  2003      19    corn                    13656.713    6145.521     238.992      34.142
   365    12    31  2003      20    soyb                     2435.401    1095.930      40.309      18.753
   365    12    31  2003      20    corn                    10455.719    4705.073     182.975      26.139
   365    12    31  2003      21    corn                    11521.397    5184.629     201.624      28.803
   365    12    31  2003      21    soyb                     3618.989    1628.545      84.209      27.866
   365    12    31  2003      22    corn                    11494.195    5172.388     201.148      28.735
   365    12    31  2003      22    soyb                     3633.031    1634.864      84.601      27.974
   365    12    31  2003      23    corn                    12025.592    5411.517     210.448      30.064
   365    12    31  2003      23    soyb                     3301.531    1485.689      51.084      22.472
   365    12    31  2003      24    corn                    11708.674    5268.903     204.902      29.272
   365    12    31  2003      24    soyb                     3916.000    1762.200     146.348      30.153
   365    12    31  2003      25    corn                    13442.577    6049.160     235.245      33.606
   365    12    31  2003      26    corn                    14709.241    6619.158     257.412      36.773
   365    12    31  2003      26    soyb                     4121.728    1854.777     153.673      31.737
   365    12    31  2003      27    corn                    14603.078    6571.385     255.554      36.508
   365    12    31  2003      27    soyb                     4120.832    1854.374     153.763      31.730
   365    12    31  2003      28    corn                    14964.714    6734.121     261.882      37.412
   365    12    31  2003      29    corn                    13143.244    5914.459     230.007      32.858
   365    12    31  2003      29    soyb                     4134.615    1860.577     112.057      31.837
   365    12    31  2003      30    soyb                     2901.831    1305.824      80.661      22.344
   365    12    31  2003      30    corn                    13947.443    6276.349     244.080      34.869
   365    12    31  2003      31    soyb                     2547.369    1146.316      77.145      19.615
   365    12    31  2003      31    corn                    10757.406    4840.833     188.255      26.894
   365    12    31  2003      32    soyb                     2890.187    1300.584      80.609      22.254
   365    12    31  2003      32    corn                    13900.713    6255.320     243.262      34.752
   365    12    31  2003      33    soyb                     3551.287    1598.079     124.997      27.345
   365    12    31  2003      33    corn                    15002.341    6751.053     262.541      37.506
   365    12    31  2003      34    soyb                     3022.673    1360.203      68.218      23.275
   365    12    31  2003      34    corn                    12061.421    5427.639     211.075      30.154
   365    12    31  2003      35    soyb                     3215.567    1447.005     136.573      24.760
   365    12    31  2003      35    corn                    14949.271    6727.172     261.612      37.373
   365    12    31  2003      36    soyb                     3665.829    1649.623      73.709      28.227
   365    12    31  2003      36    corn                    13954.099    6279.345     244.197      34.885
   365    12    31  2003      37    soyb                     2546.879    1146.096      77.212      19.611
   365    12    31  2003      37    corn                    10765.214    4844.346     188.391      26.913
   365    12    31  2003      38    soyb                     3125.362    1406.413     115.949      24.065
   365    12    31  2003      38    wwht                     3098.344    1394.255      77.459       6.816
   365    12    31  2003      39    soyb                     3021.615    1359.727      68.218      23.266
   365    12    31  2003      39    corn                    12057.220    5425.749     211.001      30.143
   365    12    31  2003      40    soyb                     2546.941    1146.124      77.215      19.611
   365    12    31  2003      40    corn                    10761.967    4842.885     188.334      26.905
   365    12    31  2003      41    soyb                     2547.858    1146.536      77.199      19.619
   365    12    31  2003      41    corn                    10849.118    4882.104     189.860      27.123
   365    12    31  2003      42    corn                    13009.324    5854.195     227.663      32.523
   365    12    31  2003      42    soyb                     4134.615    1860.577     116.119      31.837
   365    12    31  2003      43    corn                    11206.163    5042.773     196.108      28.015
   365    12    31  2003      44    corn                    10164.388    4573.975     177.877      25.411
   365    12    31  2003      44    soyb                     2603.507    1171.578      97.130      20.047
   365    12    31  2003      45    corn                    10423.609    4690.624     182.413      26.059
   365    12    31  2003      46    corn                    13115.701    5902.066     229.525      32.789
   365    12    31  2003      46    soyb                     3905.670    1757.551      86.172      30.074
   365    12    31  2003      47    corn                     9819.635    4418.836     171.844      24.549
   365    12    31  2003      47    soyb                     2605.528    1172.488      97.278      20.063
   365    12    31  2003      48    corn                    12111.827    5450.322     211.957      30.280
   365    12    31  2003      49    corn                     9948.273    4476.723     174.095      24.871
   365    12    31  2003      49    wwht                     3112.973    1400.838      77.824       6.849
   365    12    31  2003      49    soyb                     1796.065     808.229      77.495      13.830
   365    12    31  2003      50    corn                    12992.477    5846.614     227.368      32.481
   365    12    31  2003      50    soyb                     4137.375    1861.819     117.271      31.858
   365    12    31  2003      51    corn                    11206.805    5043.062     196.119      28.017
   365    12    31  2003      52    corn                    13211.457    5945.156     231.201      33.029
   365    12    31  2003      52    soyb                     4269.495    1921.273     159.172      32.875
   365    12    31  2003      53    soyb                     2546.929    1146.118      77.209      19.611
