 ceap_07120002             SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle      sedmin     tileno3
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        ----        ----
    365    12    31  2001      1       0  sub_071200020101       0.441       0.939       0.068       3.076       0.000       0.005       0.000       0.025       0.015
    365    12    31  2001      2       0  sub_071200020102       0.310       1.459       0.094       4.163       0.000       0.007       0.000       0.022       0.000
    365    12    31  2001      3       0  sub_071200020103       1.252       2.721       0.164       9.847       0.000       0.024       0.000       0.050       0.000
    365    12    31  2001      4       0  sub_071200020201       0.272       0.697       0.048       2.100       0.000       0.004       0.000       0.010       0.000
    365    12    31  2001      5       0  sub_071200020202       0.360       1.138       0.071       5.013       0.000       0.007       0.000       0.017       0.000
    365    12    31  2001      6       0  sub_071200020203       0.958       2.375       0.163       4.216       0.000       0.018       0.000       0.038       0.074
    365    12    31  2001      7       0  sub_071200020204       0.213       0.505       0.034       2.339       0.000       0.007       0.000       0.009       0.000
    365    12    31  2001      8       0  sub_071200020205       1.032       2.236       0.137       3.606       0.000       0.015       0.000       0.042       0.000
    365    12    31  2001      9       0  sub_071200020206       0.441       1.166       0.075       4.353       0.000       0.007       0.000       0.019       0.000
    365    12    31  2001     10       0  sub_071200020301       1.557       4.856       0.305       7.387       0.000       0.005       0.000       0.069       0.002
    365    12    31  2001     11       0  sub_071200020302       1.453       3.499       0.250       4.576       0.000       0.011       0.000       0.085       0.000
    365    12    31  2001     12       0  sub_071200020303       0.761       1.790       0.112       6.347       0.000       0.012       0.000       0.027       0.000
    365    12    31  2001     13       0  sub_071200020304       0.903       2.490       0.165       5.433       0.000       0.031       0.000       0.048       0.000
    365    12    31  2001     14       0  sub_071200020305       0.961       2.014       0.141       7.911       0.000       0.007       0.000       0.042       0.000
    365    12    31  2001     15       0  sub_071200020401       0.505       0.848       0.055       3.533       0.000       0.006       0.000       0.014       0.000
    365    12    31  2001     16       0  sub_071200020402       1.019       2.197       0.134       6.734       0.000       0.016       0.000       0.037       0.003
    365    12    31  2001     17       0  sub_071200020403       0.985       2.089       0.152       4.780       0.000       0.023       0.000       0.045       0.000
    365    12    31  2001     18       0  sub_071200020404       1.001       2.013       0.144       4.646       0.000       0.011       0.000       0.051       0.021
    365    12    31  2001     19       0  sub_071200020405       0.879       2.030       0.145       4.693       0.000       0.010       0.000       0.041       0.000
    365    12    31  2001     20       0  sub_071200020501       1.159       3.187       0.213       8.209       0.000       0.035       0.000       0.059       0.000
    365    12    31  2001     21       0  sub_071200020502       0.578       1.632       0.098       6.078       0.000       0.050       0.000       0.017       0.000
    365    12    31  2001     22       0  sub_071200020503       0.655       1.385       0.093       2.997       0.000       0.027       0.000       0.030       0.000
    365    12    31  2001     23       0  sub_071200020504       1.740       3.572       0.249       7.678       0.000       0.025       0.000       0.082       0.000
    365    12    31  2001     24       0  sub_071200020505       0.973       1.741       0.114       4.774       0.000       0.016       0.000       0.031       0.000
    365    12    31  2001     25       0  sub_071200020506       4.388       9.139       0.590       8.025       0.000       0.013       0.000       0.216       0.048
    365    12    31  2001     26       0  sub_071200020507       0.512       1.636       0.104       5.110       0.000       0.004       0.000       0.019       0.000
    365    12    31  2001     27       0  sub_071200020508       0.843       2.863       0.184       5.230       0.000       0.014       0.000       0.032       0.000
    365    12    31  2001     28       0  sub_071200020601       0.628       2.173       0.148       4.660       0.000       0.022       0.000       0.026       0.000
    365    12    31  2001     29       0  sub_071200020602       1.189       3.145       0.198       6.200       0.000       0.009       0.000       0.041       0.000
    365    12    31  2001     30       0  sub_071200020603       1.970       5.139       0.320       5.170       0.000       0.040       0.000       0.055       0.000
    365    12    31  2001     31       0  sub_071200020604       1.190       4.289       0.272       4.348       0.000       0.017       0.000       0.062       0.132
    365    12    31  2001     32       0  sub_071200020605       0.738       2.041       0.126       5.250       0.000       0.015       0.000       0.029       0.000
    365    12    31  2001     33       0  sub_071200020606       0.853       3.047       0.197       4.904       0.000       0.033       0.000       0.036       0.000
    365    12    31  2001     34       0  sub_071200020607       1.344       5.112       0.355       5.530       0.000       0.015       0.000       0.075       0.000
    365    12    31  2001     35       0  sub_071200020608       1.284       3.873       0.263       6.695       0.000       0.006       0.000       0.055       0.000
