 ceap_07120002             SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
  jday   mon   day    yr    unit  gis_id     name         grzn        grzp        lab_min_p        act_sta_p            fertn            fertp             fixn            denit        act_nit_n        act_sta_n        org_lab_p     rsd_nitorg_n     rsd_laborg_p          no3atmo          nh4atmo
                                                          kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha
   365    12    31  2001       1       0  sub_071200020101       0.000       0.000      -2.034      -2.160      66.596      10.189            0.143            1.721          169.283            4.050           13.318           40.469           25.100           13.061            4.687
   365    12    31  2001       2       0  sub_071200020102       0.000       0.000      -2.876      -2.849      94.445      15.543            0.175            0.045          192.309            4.595           15.102           49.750           20.069           12.754            5.220
   365    12    31  2001       3       0  sub_071200020103       0.000       0.000       0.552       0.799     113.505      18.075            0.136            0.050          204.221            4.714           16.027           59.416           16.572           12.184            5.203
   365    12    31  2001       4       0  sub_071200020201       0.000       0.000      -1.581      -1.116      77.336      14.529            0.348            0.017           78.021            1.592            6.140           52.788           20.764            5.913            2.431
   365    12    31  2001       5       0  sub_071200020202       0.000       0.000      -5.509      -3.754     101.784      17.298            0.221            0.055          102.017            2.405            8.023           56.265           19.505           11.566            5.122
   365    12    31  2001       6       0  sub_071200020203       0.000       0.000      -1.552      -0.758      83.980      15.952            0.389            0.266           81.858            1.628            6.434           49.611           18.066            6.080            2.551
   365    12    31  2001       7       0  sub_071200020204       0.000       0.000      -0.222      -1.215      84.470      16.610            0.380            0.000           59.895            1.718            4.707           50.314           12.110            5.763            2.174
   365    12    31  2001       8       0  sub_071200020205       0.000       0.000      -3.780      -2.628      99.554      17.510            0.282            0.012          170.561            3.783           13.393           60.240           20.709           12.025            4.983
   365    12    31  2001       9       0  sub_071200020206       0.000       0.000      -2.545      -0.001      81.368      14.306            0.340            0.064          106.118            2.243            8.349           47.938           22.005           12.166            5.229
   365    12    31  2001      10       0  sub_071200020301       0.000       0.000       4.614      -0.070      90.905      15.439            0.257            0.179          834.245           16.766           65.362           53.100           19.022           12.161            4.779
   365    12    31  2001      11       0  sub_071200020302       0.000       0.000      -2.855      -2.409      97.469      17.841            0.306            0.053          182.164            4.655           14.302           52.882           19.380           11.784            5.433
   365    12    31  2001      12       0  sub_071200020303       0.000       0.000      -1.999      -1.192      98.382      15.483            0.181            0.136          158.310            3.302           12.432           51.577           20.546           12.468            5.201
