 ceap_07120002             SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc
    365    12    31  2001      1       0  sub_071200020101       3.730   33213.359    4180.308    2303.654      14.961      95.239       0.000     156.331     171.602       0.599       0.299       1.685       0.000      30.480       7.651      19.066      24.858       0.000       0.000       0.912
    365    12    31  2001      2       0  sub_071200020102       3.364   21248.828    6672.300    1213.449      14.834      67.899       0.000     135.675     183.684       0.199       0.336       0.465       0.000      30.604       7.095      18.849      24.858       0.000       0.000       0.910
    365    12    31  2001      3       0  sub_071200020103       3.395   21347.852    5968.229     900.582      16.994      94.033       0.000     128.727     116.783       0.263       0.407       0.306       0.000      31.627       8.523      20.075      27.319       0.000       0.000       0.913
    365    12    31  2001      4       0  sub_071200020201       1.476   10903.979    6836.024     814.329       8.460      34.961       0.000      22.988      12.069       0.179       0.305       0.051       0.000      15.909       4.172      10.041      13.659       0.000       0.000       0.455
    365    12    31  2001      5       0  sub_071200020202       3.303   18950.668    7128.729     686.572      16.830      60.243       0.000     123.816     159.999       0.230       0.340       0.295       0.000      31.228       8.530      19.879      27.319       0.000       0.000       0.914
    365    12    31  2001      6       0  sub_071200020203       1.345    8091.483    6634.101     741.002       8.532      23.463       0.000      20.665       7.425       1.159       0.281       0.420       0.000      15.382       4.470       9.926      13.659       0.000       0.000       0.453
    365    12    31  2001      7       0  sub_071200020204       1.094    3816.276    4448.136     313.783       7.834      70.861       0.000      10.314       6.079       0.055       0.216       0.001       0.000      16.019       4.023      10.021      13.659       0.000       0.000       0.463
    365    12    31  2001      8       0  sub_071200020205       3.232   23648.006    8078.338     525.033      16.984      37.605       0.000     119.018      86.665       0.176       0.469       0.046       0.000      31.309       8.339      19.824      27.319       0.000       0.000       0.921
    365    12    31  2001      9       0  sub_071200020206       3.331   19089.961    6294.716    1412.124      17.134      45.992       0.000     133.495     170.970       3.694       0.327       0.717       0.000      31.019       8.695      19.857      27.319       0.000       0.000       0.909
    365    12    31  2001     10       0  sub_071200020301       3.379   27055.168    6491.745    1279.320      17.784      35.711       0.000     137.758      65.354      28.171       0.539       0.355       0.000      30.321       9.119      19.720      27.319       0.000       0.000       0.906
    365    12    31  2001     11       0  sub_071200020302       3.116   18779.229    7552.824     790.937      14.934      85.038       0.000     117.446     112.116       0.307       0.394       0.318       0.000      30.622       7.842      19.232      26.840       0.000       0.000       0.915
    365    12    31  2001     12       0  sub_071200020303       3.462   19495.570    7787.292     912.573      16.755      49.231       0.000     124.132     166.889       4.952       0.375       0.647       0.000      31.567       8.213      19.890      27.319       0.000       0.000       0.925
    365    12    31  2001     13       0  sub_071200020304       3.100   13690.275    7287.952     419.857      15.504      90.893       0.000     119.355     152.105       5.229       0.342       0.043       0.000      30.717       8.508      19.612      27.319       0.000       0.000       0.916
    365    12    31  2001     14       0  sub_071200020305       3.176   18284.004    7560.586    1115.651      16.411      69.744       0.000     134.147     146.378       0.505       0.378       0.001       0.000      31.080       8.201      19.640      27.319       0.000       0.000       0.900
    365    12    31  2001     15       0  sub_071200020401       3.401   30110.311    9387.790     606.180      19.864      24.645       0.000     132.840      59.660       0.926       0.557       0.163       0.000      32.401       9.944      21.172      29.199       0.000       0.000       0.904
    365    12    31  2001     16       0  sub_071200020402       3.325   31563.906    8476.416     835.233      18.259      25.047       0.000     121.124       8.776       2.812       0.682       0.109       0.000      30.791       8.666      19.728      27.319       0.000       0.000       0.901
    365    12    31  2001     17       0  sub_071200020403       1.292    5554.837    8045.791     403.719       8.294      36.838       0.000      15.123       2.945       0.309       0.305       0.006       0.000      15.800       4.016       9.908      13.659       0.000       0.000       0.452
    365    12    31  2001     18       0  sub_071200020404       0.955    4837.616    6130.524     323.938       8.308      37.850       0.000      10.460       3.373       0.126       0.246       0.186       0.000      16.077       4.533      10.305      14.600       0.000       0.000       0.454
    365    12    31  2001     19       0  sub_071200020405       3.086   19331.344    7463.177     714.653      16.618      44.437       0.000     121.008     136.357       4.150       0.375       0.817       0.000      31.251       8.557      19.904      29.199       0.000       0.000       0.905
    365    12    31  2001     20       0  sub_071200020501       3.174   17715.951    8164.817     624.927      17.508      42.889       0.000     113.604     136.448       2.057       0.383       0.911       0.000      31.785       8.619      20.202      29.199       0.000       0.000       0.915
    365    12    31  2001     21       0  sub_071200020502       3.219   18172.307    8672.978     492.297      18.676      47.306       0.000     113.473     137.870       0.622       0.428       0.158       0.000      32.162       8.494      20.328      29.199       0.000       0.000       0.918
    365    12    31  2001     22       0  sub_071200020503       3.326   19684.131    6601.104     875.292      17.797      65.176       0.000     115.719     119.095       0.110       0.386       0.029       0.000      32.582       9.133      20.857      29.199       0.000       0.000       0.919
    365    12    31  2001     23       0  sub_071200020504       1.326    5726.542    7894.460     227.517       8.817      49.906       0.000       8.985       4.442       0.476       0.306       0.000       0.000      16.455       4.511      10.483      14.600       0.000       0.000       0.459
    365    12    31  2001     24       0  sub_071200020505       1.284    6751.803    9867.299     225.149       9.520       6.151       0.000      11.074       2.653       0.128       0.349       0.015       0.000      16.073       4.747      10.410      14.600       0.000       0.000       0.454
    365    12    31  2001     25       0  sub_071200020506       1.379    7247.080    9263.188     374.685       9.482       4.644       0.000      16.910       6.370       2.111       0.363       0.081       0.000      16.168       4.256      10.212      14.600       0.000       0.000       0.447
    365    12    31  2001     26       0  sub_071200020507       3.031   13325.017    4251.010    1049.631      17.695     105.997       0.000     114.964     125.003       0.066       0.294       0.013       0.000      32.634       9.006      20.820      29.199       0.000       0.000       0.918
    365    12    31  2001     27       0  sub_071200020508       3.405   24122.469   10007.462     436.444      18.829       7.331       0.000     135.702     112.503       0.244       0.566       0.002       0.000      31.274       8.939      20.106      29.199       0.000       0.000       0.905
    365    12    31  2001     28       0  sub_071200020601       1.332    6325.290    9610.235     312.701       9.205      13.349       0.000      12.892       1.242       0.082       0.359       0.000       0.000      16.329       4.250      10.289      14.600       0.000       0.000       0.452
    365    12    31  2001     29       0  sub_071200020602       1.395    6772.708    8974.960     323.709       9.434      15.446       0.000      15.038       5.440       0.109       0.339       0.000       0.000      15.970       4.587      10.278      14.600       0.000       0.000       0.451
    365    12    31  2001     30       0  sub_071200020603       1.283    5778.440    6571.135     348.229       8.816      48.706       0.000      10.278       6.353       0.130       0.282       0.000       0.000      16.044       4.544      10.294      14.600       0.000       0.000       0.460
    365    12    31  2001     31       0  sub_071200020604       3.160   15747.921    7717.502     560.016      18.827      23.212       0.000     108.978     156.551       0.102       0.340       0.099       0.000      32.121      10.546      21.333      29.199       0.000       0.000       0.911
