 ceap_07120002             SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et       tloss      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    365    12    31  2001      1       0  sub_071200020101    1966.061     533.696     530.357      98.865      17.117     117.259     130.062    1352.080       0.000     888.047     464.033     101.753      99.096      89.919     453.127     120.479      31.619       0.000       0.000       6.163    1812.371       1.277       0.000       0.036       0.003       0.000      23.097      14.310       0.198      10.369       1.228       0.017
    365    12    31  2001      2       0  sub_071200020102    2099.388     710.490     509.200      87.805       8.091      95.896      58.544    1452.523       0.000     899.331     553.192      94.388     103.028     111.851     401.577     114.380      30.725       0.000       0.000       9.644    1829.546       0.000       0.000       0.000       0.001       0.000       8.086       0.676       0.021       5.477       0.020       0.001
    365    12    31  2001      3       0  sub_071200020103    1717.333     363.497     361.462     179.759       5.765     185.546      74.306    1407.500       0.000     840.485     567.014     179.759     140.273     217.824     268.523     227.069      47.391       0.000       0.000       1.989    1846.205       0.021       0.000       0.000       0.002       0.000      32.908       3.104       0.017       1.366       0.093       0.001
    365    12    31  2001      4       0  sub_071200020201     869.782     182.770     181.338      44.347       2.616      46.963      14.463     753.595       0.000     377.339     376.256      44.354      69.831      71.751     126.504      93.696      25.033       0.000       0.000       1.040     930.540       0.000       0.000       0.000       0.000       0.000       0.000       0.014       0.000       0.000       0.001       0.000
    365    12    31  2001      5       0  sub_071200020202    1708.323     312.470     311.459      72.112       2.672      74.784      77.489    1445.985       0.000     871.170     574.815      72.183     106.312     107.554     218.261     107.700      24.124       0.000       0.000       1.531    1828.446       0.000       0.000       0.000       0.000       0.000       0.330       0.073       0.003       1.923       0.001       0.000
    365    12    31  2001      6       0  sub_071200020203    1053.283     148.446     147.869     115.640       5.284     129.510      39.264     753.998       0.000     358.507     395.490     115.641      79.334      71.661     202.084     111.925      23.150       0.000       0.000       0.797     895.328       8.587       0.000       0.000       0.000       0.000       0.000       3.561       0.000       0.000       0.163       0.000
    365    12    31  2001      7       0  sub_071200020204     642.822     104.133     101.895      35.092       0.047      35.139       0.018     583.366       0.000     195.808     387.558      35.099      77.515      96.289     120.037      58.110      18.497       0.000       0.000       0.481     948.090       0.000       0.000       0.000       0.000       0.000       0.000       1.490       0.000       0.000       0.002       0.000
    365    12    31  2001      8       0  sub_071200020205    1856.391     416.555     374.868     101.159       1.099     102.258      10.317    1619.940       0.000     999.518     620.422     101.159     131.885     187.418     271.210     183.098      53.405       0.000       0.000       2.928    1861.797       0.000       0.000       0.000       0.000       0.000       1.871       2.680       0.002       0.137       0.026       0.000
    365    12    31  2001      9       0  sub_071200020206    1899.455     180.384     179.929      74.870       6.704      81.574     217.848    1479.583       0.000     910.040     569.543      74.869     112.059     115.105     236.244     142.185      26.758       0.000       0.000       0.607    1803.353       0.000       0.000       0.000       0.002       0.000       0.354       3.003       0.008       2.806       0.157       0.000
