 ceap_07120002             SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor      temp_stor         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in        temp_in        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out       temp_out
                                                                      ha           ha-m           ha-m           ha-m           m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc          m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc          m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
   365    12    31  2001         1         1  pnd_071200020101     0.3632E+02     0.3341E+06     0.2144E+06     0.3182E+06     0.6292E+06     0.5056E+01     0.1033E+02     0.1103E+01     0.4984E+02     0.5670E-01     0.5520E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3433E+01     0.2740E+00     0.1918E+00     0.1976E+01     0.1434E+01     0.0000E+00     0.0000E+00     0.1010E+05     0.5240E+01     0.1115E+02     0.1104E+01     0.3143E+02     0.5682E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3433E+01     0.2927E+00     0.1976E+00     0.1976E+01     0.1434E+01     0.0000E+00     0.0000E+00     0.2970E+06     0.1847E+00     0.2778E+00     0.3473E-01     0.1007E+03     0.1561E-01     0.3638E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1868E-01     0.5821E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001         2         1  pnd_071200020102     0.2066E+01     0.1985E+05     0.1226E+05     0.1810E+05     0.2623E+05     0.1554E+00     0.6456E+00     0.6001E-01     0.2675E+01     0.3772E-02     0.2840E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1187E+00     0.1023E-01     0.3976E-02     0.4080E-01     0.5197E-01     0.0000E+00     0.0000E+00     0.4415E+03     0.1609E+00     0.7565E+00     0.6006E-01     0.2018E+01     0.3787E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1187E+00     0.1127E-01     0.4084E-02     0.4080E-01     0.5197E-01     0.0000E+00     0.0000E+00     0.1230E+05     0.5514E-02     0.1293E-01     0.2480E-02     0.4371E+01     0.8953E-03     0.2380E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1041E-02     0.1074E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001         3         1  pnd_071200020103     0.6312E+01     0.5572E+05     0.3880E+05     0.5531E+05     0.7823E+05     0.1717E+01     0.1195E+01     0.3468E+00     0.8015E+01     0.3229E-01     0.1431E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9644E+00     0.8877E-01     0.6240E-01     0.7619E+00     0.6134E+00     0.0000E+00     0.0000E+00     0.2528E+04     0.2093E+01     0.4547E+01     0.3583E+00     0.1644E+02     0.3375E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9644E+00     0.1078E+00     0.7620E-01     0.7619E+00     0.6134E+00     0.0000E+00     0.0000E+00     0.4253E+05     0.3757E+00     0.2280E+00     0.6846E-01     0.1419E+02     0.1001E-01     0.3486E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1903E-01     0.1380E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001         4         1  pnd_071200020201     0.7986E-01     0.7043E+03     0.4911E+03     0.6999E+03     0.5384E+03     0.3519E-02     0.6463E-02     0.8431E-03     0.3690E-01     0.6109E-04     0.4400E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9160E-03     0.3159E-03     0.2135E-03     0.2114E-02     0.1213E-02     0.0000E+00     0.0000E+00     0.6766E+01     0.3911E-02     0.1004E-01     0.8452E-03     0.3025E-01     0.6151E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9160E-03     0.3577E-03     0.2360E-03     0.2114E-02     0.1213E-02     0.0000E+00     0.0000E+00     0.3317E+03     0.3983E-03     0.3154E-03     0.7794E-04     0.1176E+00     0.1903E-04     0.6644E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4174E-04     0.2246E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001         5         1  pnd_071200020202     0.4005E+00     0.3271E+04     0.2381E+04     0.3509E+04     0.3558E+04     0.2745E-01     0.5484E-01     0.7603E-02     0.4696E+00     0.6312E-03     0.3710E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1233E-01     0.2058E-02     0.1048E-02     0.1189E-01     0.1041E-01     0.0000E+00     0.0000E+00     0.6271E+02     0.3112E-01     0.9836E-01     0.7644E-02     0.4334E+00     0.6386E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1233E-01     0.2366E-02     0.1190E-02     0.1189E-01     0.1041E-01     0.0000E+00     0.0000E+00     0.1988E+04     0.3666E-02     0.3894E-02     0.8981E-03     0.7007E+00     0.1881E-03     0.6444E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3075E-03     0.1420E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001         6         1  pnd_071200020203     0.6629E+01     0.6757E+05     0.3877E+05     0.5809E+05     0.9280E+05     0.1476E+01     0.2358E+01     0.3503E+00     0.6944E+01     0.3075E-01     0.1496E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4610E+00     0.1455E+00     0.7445E-01     0.8398E+00     0.6252E+00     0.0000E+00     0.0000E+00     0.2276E+04     0.1683E+01     0.4174E+01     0.3535E+00     0.7539E+01     0.3097E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4610E+00     0.1665E+00     0.8425E-01     0.8398E+00     0.6252E+00     0.0000E+00     0.0000E+00     0.4487E+05     0.2065E+00     0.2335E+00     0.4159E-01     0.1495E+02     0.3170E-02     0.2197E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2105E-01     0.9808E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001         7         1  pnd_071200020204     0.8726E+01     0.5433E+05     0.5404E+05     0.7646E+05     0.1081E+06     0.4953E+00     0.8842E+00     0.1129E+00     0.8331E+01     0.1826E-01     0.6901E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7889E-01     0.8493E-01     0.2949E-01     0.3028E+00     0.1982E+00     0.0000E+00     0.0000E+00     0.9163E+03     0.5564E+00     0.1316E+01     0.1131E+00     0.6098E+01     0.1837E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7889E-01     0.9809E-01     0.3272E-01     0.3028E+00     0.1982E+00     0.0000E+00     0.0000E+00     0.6099E+05     0.6110E-01     0.5291E-01     0.1160E-01     0.2131E+02     0.5474E-02     0.1190E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1316E-01     0.3232E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001         8         1  pnd_071200020205     0.7846E+01     0.7129E+05     0.4797E+05     0.6875E+05     0.1051E+06     0.1810E+01     0.1205E+01     0.3749E+00     0.6241E+01     0.3079E-01     0.1617E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6074E+00     0.1414E+00     0.9191E-01     0.1049E+01     0.7085E+00     0.0000E+00     0.0000E+00     0.2166E+04     0.2231E+01     0.4831E+01     0.3868E+00     0.7791E+01     0.3200E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6074E+00     0.1734E+00     0.1132E+00     0.1049E+01     0.7085E+00     0.0000E+00     0.0000E+00     0.5413E+05     0.4213E+00     0.2964E+00     0.7781E-01     0.1771E+02     0.1010E-01     0.4013E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3197E-01     0.2130E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001         9         1  pnd_071200020206     0.7547E+01     0.7030E+05     0.4486E+05     0.6614E+05     0.1021E+06     0.7534E+00     0.8183E+00     0.1906E+00     0.7626E+01     0.1469E-01     0.9568E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4068E+00     0.5841E-01     0.3108E-01     0.3637E+00     0.2915E+00     0.0000E+00     0.0000E+00     0.1615E+04     0.9078E+00     0.2401E+01     0.1927E+00     0.8966E+01     0.1474E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4068E+00     0.7007E-01     0.3755E-01     0.3637E+00     0.2915E+00     0.0000E+00     0.0000E+00     0.5183E+05     0.1544E+00     0.1387E+00     0.3384E-01     0.1703E+02     0.1185E-02     0.1900E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1167E-01     0.6469E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
