 lrew                      SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp         rchrgn          nloss          no3gw        seepno3        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N            kg        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N             kg            m^3            m^3            m^3
   366    12    31  1976       1       1  aqu1                     44.880          4.092       4789.940         44.885         21.900          0.000          1.063          0.000        182.500          0.000          0.409          0.000          0.006          0.005          0.000          0.000          0.000
   366    12    31  1976       2       2  aqu2                    143.653          4.084       4790.315        144.242         21.900          0.000          3.769          0.000        182.500          0.000          1.472          0.000          0.085          0.017          0.000          0.000          0.000
   366    12    31  1976       3       3  aqu3                     31.128          4.092       4789.949         31.253         21.900          0.000          0.481          0.000        182.500          0.000          0.210          0.000          0.002          0.002          0.000          0.000          0.000
   366    12    31  1976       4       4  aqu4                    219.914          4.078       4790.625        221.861         21.900          0.000          6.090          0.000        182.500          0.000          2.931          0.000          0.271          0.028          0.000          0.000          0.000
   366    12    31  1976       5       5  aqu5                     48.588          4.091       4789.962         48.647         21.900          0.000          0.770          0.000        182.500          0.000          0.497          0.000          0.009          0.004          0.000          0.000          0.000
   366    12    31  1976       6       6  aqu6                    156.349          4.082       4790.411        157.479         21.900          0.000          3.018          0.000        182.500          0.000          1.829          0.000          0.116          0.014          0.000          0.000          0.000
   366    12    31  1976       7       7  aqu7                     43.285          4.090       4790.029         43.806         21.900          0.000          0.760          0.000        182.500          0.000          0.295          0.000          0.004          0.003          0.000          0.000          0.000
   366    12    31  1976       8       8  aqu8                     25.768          4.092       4789.908         25.762         21.900          0.000          0.293          0.000        182.500          0.000          0.094          0.000          0.001          0.001          0.000          0.000          0.000
   366    12    31  1976       9       9  aqu9                     33.598          4.085       4790.289         34.966         21.900          0.000          0.516          0.000        182.500          0.000          0.317          0.000          0.003          0.002          0.000          0.000          0.000
   366    12    31  1976      10      10  aqu10                   133.076          4.080       4790.518        135.073         21.900          0.000          2.029          0.000        182.500          0.000          1.049          0.000          0.051          0.009          0.000          0.000          0.000
   366    12    31  1976      11      11  aqu11                    20.717          4.092       4789.917         20.750         21.900          0.000          0.383          0.000        182.500          0.000          0.176          0.000          0.001          0.002          0.000          0.000          0.000
   366    12    31  1976      12      12  aqu12                     4.220          4.093       4789.875          4.214         21.900          0.000          0.047          0.000        182.500          0.000          0.021          0.000          0.000          0.000          0.000          0.000          0.000
   366    12    31  1976      13      13  aqu13                    40.725          4.092       4789.938         40.750         21.900          0.000          0.648          0.000        182.500          0.000          0.258          0.000          0.004          0.003          0.000          0.000          0.000
   366    12    31  1976      14      14  aqu14                    97.961          4.090       4790.034         97.973         21.900          0.000          2.507          0.000        182.500          0.000          0.962          0.000          0.036          0.012          0.000          0.000          0.000
   366    12    31  1976      15      15  aqu15                    71.245          4.084       4790.347         73.180         21.900          0.000          1.041          0.000        182.500          0.000          0.623          0.000          0.018          0.005          0.000          0.000          0.000
   366    12    31  1976      16      16  aqu16                   320.759          4.074       4790.827        322.933         21.900          0.000          6.093          0.000        182.500          0.000          3.486          0.000          0.458          0.028          0.000          0.000          0.000
   366    12    31  1976      17      17  aqu17                    70.645          4.091       4789.979         70.639         21.900          0.000          1.159          0.000        182.500          0.000          0.463          0.000          0.011          0.005          0.000          0.000          0.000
   366    12    31  1976      18      18  aqu18                    93.693          4.090       4790.020         93.692         21.900          0.000          1.633          0.000        182.500          0.000          0.700          0.000          0.020          0.008          0.000          0.000          0.000
