 lrew                      SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor      temp_stor         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in        temp_in        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out       temp_out
                                                                      ha           ha-m           ha-m           ha-m           m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc          m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc          m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
   366    12    31  1976       1       1  cha1                 0.9714E+02     0.3408E+00     0.1722E+07     0.0000E+00     0.1840E+00     0.1611E-06     0.9879E-06     0.1063E-06     0.7442E-03     0.1741E-05     0.4166E-08     0.6805E-08     0.0000E+00     0.0000E+00     0.1623E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1444E+01     0.1109E+01     0.1003E+01     0.9152E-01     0.3156E+03     0.3063E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7904E+00     0.2732E-01     0.3243E-01     0.1841E+00     0.1580E+00     0.0000E+00     0.0000E+00     0.1464E+01     0.3148E+02     0.1453E+02     0.1211E+02     0.3272E+03     0.9325E+01     0.4508E+01     0.3006E+01     0.1503E+01     0.1352E+01     0.1679E+03     0.3005E-03     0.1503E-03     0.1503E+00     0.1352E-01     0.1202E-01     0.1052E-01     0.0000E+00
   366    12    31  1976       2       2  cha2                 0.4761E+02     0.1547E+00     0.9649E+06     0.0000E+00     0.9876E-05     0.4546E-08     0.7736E-08     0.2363E-07     0.4160E-07     0.5228E-04     0.3904E-05     0.2639E-08     0.0000E+00     0.0000E+00     0.5359E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1785E+00     0.2566E-01     0.3487E-01     0.3428E-02     0.6380E+01     0.7493E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2679E-01     0.8730E-02     0.8920E-02     0.1292E-01     0.1185E-01     0.0000E+00     0.0000E+00     0.1864E+00     0.9853E+01     0.7263E+01     0.6428E+01     0.1202E+02     0.4898E+01     0.2410E+01     0.1606E+01     0.8031E+00     0.7228E+00     0.2667E+02     0.1606E-03     0.8031E-04     0.8031E-01     0.7228E-02     0.6425E-02     0.5622E-02     0.0000E+00
   366    12    31  1976       3       3  cha3                 0.4857E+03     0.1781E+01     0.9476E+07     0.0000E+00     0.7546E-03     0.2427E-08     0.1107E-07     0.3337E-07     0.3121E-06     0.1688E-07     0.9036E-10     0.4121E-09     0.0000E+00     0.0000E+00     0.1051E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2882E+01     0.3991E+01     0.2727E+01     0.3260E+00     0.5327E+03     0.1663E+01     0.2385E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1121E+01     0.7476E-01     0.1847E+02     0.2851E+00     0.2617E+00     0.0000E+00     0.0000E+00     0.2995E+01     0.5358E+03     0.8116E+02     0.7005E+02     0.5950E+03     0.5396E+02     0.2638E+02     0.1743E+02     0.8715E+01     0.7843E+01     0.2321E+03     0.1743E-02     0.8715E-03     0.8715E+00     0.7843E-01     0.6972E-01     0.6100E-01     0.0000E+00
   366    12    31  1976       4       4  cha4                 0.4575E+02     0.1407E+00     0.9169E+06     0.0000E+00     0.3090E+01     0.2250E-08     0.1132E-08     0.3453E-08     0.7902E-06     0.3757E-04     0.2784E-05     0.3685E-09     0.0000E+00     0.0000E+00     0.5058E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4020E+00     0.1422E+01     0.1725E+00     0.2397E-01     0.2835E+02     0.1493E+00     0.5169E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3905E-01     0.2098E-01     0.1252E+02     0.1256E-01     0.1192E-01     0.0000E+00     0.0000E+00     0.4136E+00     0.1428E+02     0.8550E+01     0.7471E+01     0.3504E+02     0.5737E+01     0.2844E+01     0.1862E+01     0.9309E+00     0.8378E+00     0.3870E+02     0.1862E-03     0.9309E-04     0.9309E-01     0.8378E-02     0.7447E-02     0.6516E-02     0.0000E+00
   366    12    31  1976       5       5  cha5                 0.1784E+03     0.5403E+00     0.6988E+07     0.0000E+00     0.1000E+00     0.3594E-08     0.1275E-08     0.3676E-08     0.1638E-05     0.1462E-08     0.5006E-17     0.1757E-12     0.0000E+00     0.0000E+00     0.9004E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5614E+00     0.1051E+01     0.1993E+00     0.1914E-01     0.6875E+02     0.1673E+00     0.2221E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1019E+00     0.3019E-01     0.8772E+01     0.3523E-01     0.3512E-01     0.0000E+00     0.0000E+00     0.5924E+00     0.7800E+02     0.2526E+02     0.2229E+02     0.8849E+02     0.1687E+02     0.8375E+01     0.5569E+01     0.2784E+01     0.2506E+01     0.6376E+02     0.5568E-03     0.2784E-03     0.2784E+00     0.2506E-01     0.2227E-01     0.1949E-01     0.0000E+00
   366    12    31  1976       6       6  cha6                 0.6753E+02     0.2042E+00     0.2342E+07     0.0000E+00     0.1017E+02     0.3383E-08     0.1151E-08     0.3513E-08     0.1058E-04     0.2114E-04     0.1481E-05     0.3537E-09     0.0000E+00     0.0000E+00     0.5569E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1604E+00     0.7365E+00     0.3740E-01     0.6409E-02     0.8874E+01     0.5159E-01     0.1166E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1991E-01     0.1661E-01     0.7007E+01     0.9941E-02     0.9992E-02     0.0000E+00     0.0000E+00     0.1754E+00     0.1058E+02     0.1216E+02     0.1078E+02     0.1833E+02     0.8136E+01     0.4053E+01     0.2694E+01     0.1347E+01     0.1212E+01     0.1908E+02     0.2694E-03     0.1347E-03     0.1347E+00     0.1212E-01     0.1078E-01     0.9429E-02     0.0000E+00
   366    12    31  1976       7       7  cha7                 0.8266E+02     0.2713E+00     0.1953E+07     0.0000E+00     0.1955E-01     0.1643E-08     0.3878E-08     0.1128E-07     0.6513E-06     0.5434E-06     0.4014E-07     0.2470E-09     0.0000E+00     0.0000E+00     0.6996E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7082E+00     0.1224E+01     0.6010E+00     0.5877E-01     0.1713E+03     0.3494E+00     0.5238E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2452E+00     0.2684E-01     0.7499E+01     0.6674E-01     0.6380E-01     0.0000E+00     0.0000E+00     0.7226E+00     0.4595E+02     0.1137E+02     0.9628E+01     0.1804E+03     0.7528E+01     0.3640E+01     0.2393E+01     0.1196E+01     0.1077E+01     0.7429E+02     0.2392E-03     0.1196E-03     0.1196E+00     0.1077E-01     0.9569E-02     0.8373E-02     0.0000E+00
   366    12    31  1976       8       8  cha8                 0.1655E+03     0.6083E+00     0.4195E+07     0.0000E+00     0.1149E+00     0.1017E-08     0.1997E-08     0.5998E-08     0.3616E-05     0.1719E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9504E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1448E+01     0.9099E+00     0.1312E+01     0.1174E+00     0.3566E+03     0.5476E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6664E+00     0.2828E-01     0.3066E-01     0.1419E+00     0.1342E+00     0.0000E+00     0.0000E+00     0.1480E+01     0.2238E+03     0.2366E+02     0.1999E+02     0.3748E+03     0.1545E+02     0.7451E+01     0.4968E+01     0.2484E+01     0.2235E+01     0.1201E+03     0.4968E-03     0.2484E-03     0.2484E+00     0.2235E-01     0.1987E-01     0.1739E-01     0.0000E+00
   366    12    31  1976       9       9  cha9                 0.4167E+03     0.1316E+01     0.1152E+08     0.0000E+00     0.8759E-02     0.4485E-08     0.2781E-07     0.2438E-07     0.6249E-05     0.2695E-07     0.1059E-10     0.1661E-09     0.0000E+00     0.0000E+00     0.9632E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2002E+01     0.2026E+01     0.1455E+01     0.1209E+00     0.4098E+03     0.6655E+00     0.2331E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8121E+00     0.4258E-01     0.8596E+01     0.1554E+00     0.1616E+00     0.0000E+00     0.0000E+00     0.2083E+01     0.3141E+03     0.6709E+02     0.5847E+02     0.4621E+03     0.4443E+02     0.2190E+02     0.1459E+02     0.7293E+01     0.6564E+01     0.1899E+03     0.1459E-02     0.7293E-03     0.7293E+00     0.6564E-01     0.5835E-01     0.5105E-01     0.0000E+00
