 lrew                      SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                    flo_in          aqu_in         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm 
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm 
   366    12    31  1976       1       1  cha1                 0.3956E-02     0.3366E-03     0.4011E-02     0.1266E+00     0.1109E+01     0.3146E+02     0.5546E+00     0.0000E+00     0.8653E-02     0.9304E+01     0.7685E+01     0.1392E+02     0.3352E+01     0.3471E+00     0.1988E-02     0.6428E-03     0.4597E-02     0.2773E-01     0.7116E+02     0.6055E+01     0.7215E+02
   366    12    31  1976       2       2  cha2                 0.4890E-03     0.7000E-04     0.5108E-03     0.1565E-01     0.2566E-01     0.9845E+01     0.1283E-01     0.0000E+00     0.3394E-04     0.6160E+01     0.3395E+01     0.2768E+00     0.2752E+01     0.3078E+00     0.7986E-02     0.8620E-03     0.3794E-02     0.7415E-03     0.1511E+02     0.2163E+01     0.1578E+02
   366    12    31  1976       3       3  cha3                 0.7897E-02     0.7308E-03     0.8205E-02     0.2527E+00     0.3991E+01     0.5357E+03     0.1996E+01     0.0000E+00     0.1968E-02     0.4024E+03     0.9610E+02     0.3523E+02     0.4374E+01     0.4402E+00     0.3986E-02     0.5507E-02     0.1153E-01     0.4117E-01     0.6700E+02     0.6200E+01     0.6961E+02
   366    12    31  1976       4       4  cha4                 0.1101E-02     0.5015E-05     0.1133E-02     0.3524E-01     0.1422E+01     0.1427E+02     0.7108E+00     0.0000E+00     0.3337E-02     0.6628E+01     0.3290E+01     0.3644E+01     0.2611E+01     0.3032E+00     0.3975E-02     0.9710E-03     0.3732E-02     0.1072E-01     0.4015E+02     0.1829E+00     0.4132E+02
   366    12    31  1976       5       5  cha5                 0.1538E-02     0.1406E-03     0.1623E-02     0.4921E-01     0.1051E+01     0.7797E+02     0.5255E+00     0.0000E+00     0.6111E-03     0.5431E+02     0.1927E+02     0.3874E+01     0.3317E+01     0.3581E+00     0.5985E-02     0.2036E-02     0.6019E-02     0.7557E-02     0.2854E+02     0.2609E+01     0.3012E+02
   366    12    31  1976       6       6  cha6                 0.4395E-03     0.1993E-04     0.4805E-03     0.1406E-01     0.7365E+00     0.1056E+02     0.3682E+00     0.0000E+00     0.3274E-03     0.6340E+01     0.2361E+01     0.1496E+01     0.2745E+01     0.3078E+00     0.4991E-02     0.6263E-03     0.1857E-02     0.4069E-02     0.1345E+02     0.6099E+00     0.1471E+02
   366    12    31  1976       7       7  cha7                 0.1940E-02     0.1523E-03     0.1980E-02     0.6209E-01     0.1224E+01     0.4593E+02     0.6119E+00     0.0000E+00     0.7676E-03     0.2789E+02     0.1131E+02     0.6120E+01     0.2964E+01     0.3402E+00     0.4963E-02     0.2270E-02     0.7216E-02     0.1439E-01     0.5089E+02     0.3995E+01     0.5192E+02
   366    12    31  1976       8       8  cha8                 0.3967E-02     0.1927E-03     0.4056E-02     0.1270E+00     0.9099E+00     0.2237E+03     0.4550E+00     0.0000E+00     0.1439E-03     0.1631E+03     0.4280E+02     0.1740E+02     0.3140E+01     0.3737E+00     0.5964E-02     0.6544E-02     0.1271E-01     0.3309E-01     0.8952E+02     0.4349E+01     0.9151E+02
   366    12    31  1976       9       9  cha9                 0.5484E-02     0.2658E-03     0.5708E-02     0.1755E+00     0.2026E+01     0.3141E+03     0.1013E+01     0.0000E+00     0.4193E-02     0.2300E+03     0.6895E+02     0.1411E+02     0.4341E+01     0.4268E+00     0.3988E-02     0.3677E-02     0.1000E-01     0.1724E-01     0.4754E+02     0.2304E+01     0.4948E+02
   366    12    31  1976      10      10  cha10                0.6518E-03     0.1860E-04     0.6760E-03     0.2086E-01     0.2693E+00     0.9749E+01     0.1346E+00     0.0000E+00     0.1680E-02     0.5530E+01     0.2660E+01     0.1425E+01     0.2553E+01     0.2937E+00     0.4991E-02     0.7626E-03     0.2845E-02     0.4278E-02     0.2456E+02     0.7007E+00     0.2547E+02
   366    12    31  1976      11      11  cha11                0.1696E-02     0.1653E-03     0.1811E-02     0.5427E-01     0.3682E+00     0.3701E+02     0.1841E+00     0.0000E+00     0.1884E-02     0.2153E+02     0.1029E+02     0.5005E+01     0.3315E+01     0.3437E+00     0.2997E-02     0.7008E-03     0.2887E-02     0.1002E-01     0.3057E+02     0.2979E+01     0.3265E+02
   366    12    31  1976      12      12  cha12                0.1820E-02     0.7468E-04     0.1890E-02     0.5823E-01     0.1553E+01     0.1123E+03     0.7764E+00     0.0000E+00     0.2139E-03     0.8152E+02     0.2338E+02     0.6583E+01     0.3311E+01     0.3713E+00     0.6968E-02     0.3807E-02     0.8739E-02     0.1239E-01     0.3458E+02     0.1419E+01     0.3592E+02
