 lrew                      SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   366    12    31  1976       1    pnut                     3764.646    1694.091     190.115      15.059
   366    12    31  1976       1    corn                    14527.173    6537.228     254.226      12.559
   366    12    31  1976       1    cots                        0.000       0.000       0.000       0.000
   366    12    31  1976       2    pnut                     3764.646    1694.091     190.115      11.462
   366    12    31  1976       2    corn                    14527.173    6537.228     254.226      10.793
   366    12    31  1976       2    cots                        0.000       0.000       0.000       0.000
   366    12    31  1976       3    pnut                     3785.373    1703.418     191.161      12.112
   366    12    31  1976       3    corn                    13734.233    6180.405     240.349      34.336
   366    12    31  1976       3    cots                        0.000       0.000       0.000       0.000
   366    12    31  1976       4    pnut                     3731.346    1679.106     188.433      11.203
   366    12    31  1976       4    corn                    14442.487    6499.119     252.744      22.368
   366    12    31  1976       4    cots                        0.000       0.000       0.000       0.000
   366    12    31  1976       5    pnut                     3764.646    1694.091     190.115      15.059
   366    12    31  1976       5    corn                    14527.173    6537.228     254.226      20.085
   366    12    31  1976       5    cots                        0.000       0.000       0.000       0.000
   366    12    31  1976       6    past                    62504.988   28261.994     299.499      52.530
   366    12    31  1976       7    past                    62504.988   28261.994     287.702      47.564
   366    12    31  1976       8    past                    62504.988   28261.994     314.956      53.278
   366    12    31  1976       9    past                    62504.988   28261.994     395.956      64.201
   366    12    31  1976      10    frse                        0.000       0.000       0.000       0.000
   366    12    31  1976      11    frse                        0.000       0.000       0.000       0.000
   366    12    31  1976      12    frse                        0.000       0.000       0.000       0.000
   366    12    31  1976      13    frse                        0.000       0.000       0.000       0.000
   366    12    31  1976      14    frse                        0.000       0.000       0.000       0.000
   366    12    31  1976      15    frsd                        0.000       0.000       0.000       0.000
   366    12    31  1976      16    frsd                        0.000       0.000       0.000       0.000
   366    12    31  1976      17    frsd                        0.000       0.000       0.000       0.000
   366    12    31  1976      18    frsd                        0.000       0.000       0.000       0.000
   366    12    31  1976      19    wetf                        0.000       0.000       0.000       0.000
   366    12    31  1976      20    wetf                        0.000       0.000       0.000       0.000
   366    12    31  1976      21    berm                    42624.797   19272.734     336.248      56.248
   366    12    31  1976      22    frse                        0.000       0.000       0.000       0.000
   366    12    31  1976      23    frse                        0.000       0.000       0.000       0.000
   366    12    31  1976      24    frse                        0.000       0.000       0.000       0.000
   366    12    31  1976      25    frsd                        0.000       0.000       0.000       0.000
