 lrew                      SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor      temp_stor         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in        temp_in        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out       temp_out
                                                                      ha           ha-m           ha-m           ha-m           m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc          m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc          m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
   366    12    31  1976         1         1  pnd1                 0.2036E+02     0.5456E+05     0.5696E+05     0.0000E+00     0.1220E+06     0.1751E+01     0.2183E+00     0.3735E+00     0.3858E+02     0.1784E+01     0.5966E+00     0.0000E+00     0.0000E+00     0.8910E+03     0.7920E+03     0.2508E+01     0.3356E-01     0.6873E+01     0.6235E+00     0.5459E+00     0.0000E+00     0.0000E+00     0.7576E+05     0.6942E+00     0.9368E+00     0.8247E-01     0.2117E+03     0.3953E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5011E+00     0.1682E-01     0.1942E-01     0.1246E+00     0.1091E+00     0.0000E+00     0.0000E+00     0.6877E+05     0.2322E+01     0.3539E+00     0.1234E+00     0.4152E+02     0.6625E+00     0.2385E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2990E-01     0.1842E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   366    12    31  1976         2         2  pnd2                 0.1807E+02     0.4042E+05     0.5132E+05     0.0000E+00     0.9623E+05     0.3469E+01     0.8150E-01     0.1638E+00     0.2719E+02     0.8860E+00     0.3260E+00     0.0000E+00     0.0000E+00     0.7938E+03     0.7056E+03     0.1119E+01     0.6547E-01     0.2561E+02     0.2775E+00     0.2690E+00     0.0000E+00     0.0000E+00     0.4045E+05     0.3011E+00     0.4168E+00     0.3286E-01     0.1132E+03     0.1777E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2236E+00     0.1172E-01     0.1196E-01     0.5548E-01     0.5378E-01     0.0000E+00     0.0000E+00     0.2795E+05     0.1370E+01     0.1007E+00     0.1827E-01     0.1355E+02     0.1223E+00     0.5169E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1628E-01     0.1252E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   366    12    31  1976         3         3  pnd3                 0.1309E+02     0.2919E+05     0.3744E+05     0.0000E+00     0.7534E+05     0.1974E+01     0.3318E-01     0.4244E-01     0.2416E+02     0.3752E+00     0.1526E+00     0.0000E+00     0.0000E+00     0.5508E+03     0.4896E+03     0.3314E+00     0.3698E-01     0.1742E+02     0.9014E-01     0.9020E-01     0.0000E+00     0.0000E+00     0.3058E+05     0.8542E-01     0.1081E+00     0.8479E-02     0.5524E+02     0.7495E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6625E-01     0.6477E-02     0.6477E-02     0.1804E-01     0.1805E-01     0.0000E+00     0.0000E+00     0.1950E+05     0.9137E+00     0.2582E-01     0.5330E-02     0.5878E+01     0.4798E-01     0.2221E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1133E-01     0.8753E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   366    12    31  1976         4         4  pnd4                 0.3139E+02     0.6925E+05     0.8939E+05     0.0000E+00     0.1787E+06     0.1416E+02     0.5697E-01     0.1113E+00     0.4152E+02     0.7835E+00     0.3349E+00     0.0000E+00     0.0000E+00     0.1539E+04     0.1368E+04     0.5886E+00     0.1954E+00     0.1360E+03     0.1486E+00     0.1425E+00     0.0000E+00     0.0000E+00     0.3153E+05     0.1310E+00     0.1786E+00     0.2224E-01     0.8075E+02     0.1565E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1275E+00     0.1255E-01     0.1292E-01     0.3379E-01     0.3246E-01     0.0000E+00     0.0000E+00     0.9861E+04     0.7196E+00     0.1430E-01     0.3574E-02     0.6015E+01     0.2368E-01     0.1166E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8690E-02     0.6999E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   366    12    31  1976         5         5  pnd5                 0.9617E+01     0.2320E+05     0.2709E+05     0.0000E+00     0.4832E+05     0.9531E+00     0.3493E-01     0.9182E-01     0.1643E+02     0.5273E+00     0.1850E+00     0.0000E+00     0.0000E+00     0.3888E+03     0.3456E+03     0.6524E+00     0.2198E-01     0.5781E+01     0.1860E+00     0.1730E+00     0.0000E+00     0.0000E+00     0.2700E+05     0.1856E+00     0.2569E+00     0.1889E-01     0.7886E+02     0.1085E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1303E+00     0.6626E-02     0.6810E-02     0.3716E-01     0.3457E-01     0.0000E+00     0.0000E+00     0.2208E+05     0.8583E+00     0.8635E-01     0.2081E-01     0.1055E+02     0.1335E+00     0.5238E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1087E-01     0.7483E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   366    12    31  1976         6         6  pnd6                 0.1082E+02     0.2491E+05     0.3071E+05     0.0000E+00     0.5746E+05     0.9737E+00     0.1827E-01     0.4795E-01     0.1385E+02     0.1708E+00     0.8745E-01     0.0000E+00     0.0000E+00     0.4536E+03     0.4032E+03     0.5040E+00     0.1682E-01     0.7554E+01     0.9465E-01     0.9807E-01     0.0000E+00     0.0000E+00     0.3197E+05     0.1301E+00     0.1201E+00     0.9580E-02     0.1551E+03     0.3412E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1007E+00     0.3905E-02     0.3992E-02     0.1892E-01     0.1961E-01     0.0000E+00     0.0000E+00     0.2475E+05     0.9425E+00     0.3114E-01     0.1074E-01     0.3359E+02     0.4003E-01     0.2331E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1062E-01     0.8564E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   366    12    31  1976         7         7  pnd7                 0.3053E+01     0.7016E+04     0.8700E+04     0.0000E+00     0.1574E+05     0.6134E+00     0.3492E-01     0.1259E-01     0.5487E+01     0.1099E+00     0.4129E-01     0.0000E+00     0.0000E+00     0.1134E+03     0.1008E+03     0.1101E+00     0.8255E-02     0.5532E+01     0.1152E+01     0.1026E+01     0.8820E+00     0.0000E+00     0.4933E+04     0.2210E-01     0.2814E-01     0.2514E-02     0.6343E+01     0.2196E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1695E-01     0.9833E-03     0.1009E-02     0.3618E-02     0.3649E-02     0.0000E+00     0.0000E+00     0.2622E+04     0.1513E+00     0.4308E-02     0.1392E-02     0.8383E+00     0.1051E-01     0.4408E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1851E-02     0.1413E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   366    12    31  1976         8         8  pnd8                 0.2268E+02     0.5180E+05     0.6376E+05     0.0000E+00     0.1319E+06     0.6007E+01     0.7991E-01     0.1404E+00     0.3927E+02     0.1022E+01     0.3799E+00     0.0000E+00     0.0000E+00     0.1037E+04     0.9216E+03     0.6827E+00     0.7354E-01     0.5311E+02     0.1346E+00     0.1371E+00     0.0000E+00     0.0000E+00     0.3786E+05     0.2390E+00     0.3058E+00     0.2805E-01     0.1691E+03     0.2042E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1861E+00     0.6356E-02     0.6575E-02     0.3595E-01     0.3672E-01     0.0000E+00     0.0000E+00     0.2256E+05     0.1343E+01     0.3199E-01     0.1474E-01     0.2128E+02     0.1021E+00     0.4265E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1478E-01     0.1241E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   366    12    31  1976         9         9  pnd9                 0.1959E+01     0.4898E+04     0.5508E+04     0.0000E+00     0.8991E+04     0.5989E-01     0.1990E-01     0.2389E-01     0.3673E+01     0.1148E+00     0.3964E-01     0.0000E+00     0.0000E+00     0.6480E+02     0.5760E+02     0.1976E+00     0.1174E-02     0.1103E+00     0.3492E-01     0.3686E-01     0.0000E+00     0.0000E+00     0.8791E+04     0.5021E-01     0.5794E-01     0.5054E-02     0.3965E+02     0.2424E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3947E-01     0.1014E-02     0.1029E-02     0.6979E-02     0.7367E-02     0.0000E+00     0.0000E+00     0.7823E+04     0.1821E+00     0.1950E-01     0.1120E-01     0.1253E+02     0.4810E-01     0.1950E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2219E-02     0.1417E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
