 TX_COON_CRK               SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor      temp_stor         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in        temp_in        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out       temp_out
                                                                      ha           ha-m           ha-m           ha-m           m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc          m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc          m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
   366    12    31  1988       1       1  sdc1                 0.1792E+01     0.1133E+01     0.2034E+08     0.6559E+00     0.1127E+01     0.1311E-02     0.2162E-01     0.1922E-01     0.1691E-01     0.1492E-01     0.3010E-02     0.4817E-02     0.2414E-02     0.2044E-02     0.1913E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7878E+00     0.2737E+02     0.2463E+04     0.2189E+04     0.1922E+04     0.1642E+04     0.8211E+03     0.5474E+03     0.2737E+03     0.2463E+03     0.2189E+03     0.5941E-01     0.3204E-01     0.2737E+02     0.2468E+01     0.2194E+01     0.1916E+01     0.0000E+00     0.7926E+00     0.7255E+02     0.3181E+04     0.2828E+04     0.2507E+04     0.2218E+04     0.4158E+03     0.7128E+03     0.3568E+03     0.3415E+03     0.4175E+03     0.6104E+00     0.6774E+00     0.1414E+02     0.7295E+00     0.6476E+00     0.5657E+00     0.0000E+00
   366    12    31  1988       2       2  sdc2                 0.2890E+01     0.1827E+01     0.4548E+08     0.1058E+01     0.1060E+01     0.4715E-03     0.1769E-01     0.1573E-01     0.1386E-01     0.1229E-01     0.3019E-02     0.3944E-02     0.1977E-02     0.1638E-02     0.1572E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7413E+00     0.1877E+02     0.1690E+04     0.1502E+04     0.1320E+04     0.1126E+04     0.5632E+03     0.3754E+03     0.1877E+03     0.1690E+03     0.1502E+03     0.4392E-01     0.2484E-01     0.1878E+02     0.1696E+01     0.1508E+01     0.1314E+01     0.0000E+00     0.8044E+00     0.4017E+02     0.2734E+04     0.2431E+04     0.2156E+04     0.1905E+04     0.5141E+03     0.6131E+03     0.3068E+03     0.2332E+03     0.2370E+03     0.2362E-01     0.1181E-01     0.1181E+02     0.1063E+01     0.9450E+00     0.8268E+00     0.0000E+00
   366    12    31  1988       3       3  sdc3                 0.2318E+00     0.1466E+00     0.1574E+00     0.8486E-01     0.5646E+00     0.2740E-03     0.2701E-01     0.2401E-01     0.2122E-01     0.1894E-01     0.1447E-02     0.6032E-02     0.3025E-02     0.2362E-02     0.2350E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7406E+00     0.2385E+02     0.2146E+04     0.1908E+04     0.1685E+04     0.1431E+04     0.7154E+03     0.4769E+03     0.2385E+03     0.2146E+03     0.1908E+03     0.5130E-01     0.2676E-01     0.2385E+02     0.2149E+01     0.1911E+01     0.1669E+01     0.0000E+00     0.7395E+00     0.5044E+02     0.2215E+04     0.1969E+04     0.1760E+04     0.1560E+04     0.1685E+03     0.4973E+03     0.2490E+03     0.1899E+03     0.2065E+03     0.7084E-01     0.7861E-01     0.1641E+01     0.8466E-01     0.7516E-01     0.6565E-01     0.0000E+00
   366    12    31  1988       4       4  sdc4                 0.1737E+01     0.1098E+01     0.1180E+01     0.6358E+00     0.1311E+01     0.6188E-03     0.3454E-01     0.3071E-01     0.2700E-01     0.2380E-01     0.3457E-02     0.7693E-02     0.3855E-02     0.3293E-02     0.3042E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9655E+00     0.4517E+02     0.4065E+04     0.3614E+04     0.3163E+04     0.2710E+04     0.1355E+04     0.9034E+03     0.4517E+03     0.4065E+03     0.3613E+03     0.9927E-01     0.5410E-01     0.4518E+02     0.4074E+01     0.3622E+01     0.3162E+01     0.0000E+00     0.9570E+00     0.4427E+02     0.4622E+04     0.4110E+04     0.3630E+04     0.3225E+04     0.4017E+03     0.1035E+04     0.5179E+03     0.4073E+03     0.3976E+03     0.1288E-01     0.6439E-02     0.6439E+01     0.5796E+00     0.5152E+00     0.4508E+00     0.0000E+00
   366    12    31  1988       5       5  sdc5                 0.4291E+00     0.2713E+00     0.2912E+00     0.1570E+00     0.6488E+00     0.3534E-03     0.1480E-01     0.1316E-01     0.1158E-01     0.1019E-01     0.1665E-02     0.3298E-02     0.1652E-02     0.1378E-02     0.1306E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8131E+00     0.2025E+02     0.1822E+04     0.1620E+04     0.1427E+04     0.1215E+04     0.6075E+03     0.4050E+03     0.2025E+03     0.1822E+03     0.1620E+03     0.4397E-01     0.2365E-01     0.2025E+02     0.1826E+01     0.1623E+01     0.1418E+01     0.0000E+00     0.8101E+00     0.1049E+03     0.1959E+04     0.1742E+04     0.1551E+04     0.1374E+04     0.2171E+03     0.4394E+03     0.2199E+03     0.1783E+03     0.1978E+03     0.1240E+00     0.1376E+00     0.2872E+01     0.1482E+00     0.1315E+00     0.1149E+00     0.0000E+00
   366    12    31  1988       6       6  sdc6                 0.1686E+01     0.1066E+01     0.1968E+08     0.6171E+00     0.8516E+00     0.2056E-03     0.1289E-01     0.1146E-01     0.1010E-01     0.9000E-02     0.2372E-02     0.2875E-02     0.1442E-02     0.1182E-02     0.1148E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5794E+00     0.1213E+02     0.1092E+04     0.9708E+03     0.8501E+03     0.7281E+03     0.3640E+03     0.2427E+03     0.1213E+03     0.1092E+03     0.9708E+02     0.3233E-01     0.2020E-01     0.1214E+02     0.1100E+01     0.9789E+00     0.8495E+00     0.0000E+00     0.5951E+00     0.2115E+02     0.1616E+04     0.1437E+04     0.1274E+04     0.1135E+04     0.2975E+03     0.3629E+03     0.1817E+03     0.1347E+03     0.1398E+03     0.1193E-01     0.5963E-02     0.5963E+01     0.5367E+00     0.4770E+00     0.4174E+00     0.0000E+00
   366    12    31  1988       7       7  sdc7                 0.1222E+01     0.7728E+00     0.1190E+08     0.4474E+00     0.1171E+01     0.2413E-02     0.1422E-01     0.1264E-01     0.1111E-01     0.9788E-02     0.3051E-02     0.3166E-02     0.1586E-02     0.1348E-02     0.1270E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1215E+01     0.1912E+02     0.1720E+04     0.1529E+04     0.1352E+04     0.1147E+04     0.5734E+03     0.3823E+03     0.1911E+03     0.1720E+03     0.1529E+03     0.4327E-01     0.2366E-01     0.1912E+02     0.1725E+01     0.1534E+01     0.1338E+01     0.0000E+00     0.1217E+01     0.3015E+03     0.2209E+04     0.1964E+04     0.1751E+04     0.1536E+04     0.3937E+03     0.4953E+03     0.2478E+03     0.2343E+03     0.2902E+03     0.4171E+00     0.4629E+00     0.9664E+01     0.4985E+00     0.4425E+00     0.3866E+00     0.0000E+00
   366    12    31  1988       8       8  sdc8                 0.8660E+00     0.5475E+00     0.5879E+00     0.3170E+00     0.1080E+01     0.1167E-02     0.1315E-01     0.1169E-01     0.1028E-01     0.9038E-02     0.2783E-02     0.2929E-02     0.1467E-02     0.1251E-02     0.1174E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1006E+01     0.1884E+02     0.1696E+04     0.1508E+04     0.1329E+04     0.1131E+04     0.5653E+03     0.3769E+03     0.1884E+03     0.1696E+03     0.1508E+03     0.4257E-01     0.2346E-01     0.1885E+02     0.1701E+01     0.1512E+01     0.1319E+01     0.0000E+00     0.9997E+00     0.1423E+03     0.1955E+04     0.1738E+04     0.1548E+04     0.1366E+04     0.2949E+03     0.4386E+03     0.2195E+03     0.1637E+03     0.1695E+03     0.6058E-02     0.3029E-02     0.3029E+01     0.2726E+00     0.2423E+00     0.2120E+00     0.0000E+00
   366    12    31  1988       9       9  sdc9                 0.1494E+01     0.9445E+00     0.2277E+08     0.5469E+00     0.8763E+00     0.5308E-03     0.1196E-01     0.1063E-01     0.9351E-02     0.8243E-02     0.2347E-02     0.2664E-02     0.1335E-02     0.1122E-02     0.1066E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5206E+00     0.1556E+02     0.1400E+04     0.1245E+04     0.1091E+04     0.9335E+03     0.4668E+03     0.3112E+03     0.1556E+03     0.1400E+03     0.1245E+03     0.3610E-01     0.2054E-01     0.1556E+02     0.1405E+01     0.1250E+01     0.1089E+01     0.0000E+00     0.5325E+00     0.3085E+02     0.1967E+04     0.1749E+04     0.1551E+04     0.1377E+04     0.3063E+03     0.4416E+03     0.2210E+03     0.2169E+03     0.2827E+03     0.4818E+00     0.5347E+00     0.1116E+02     0.5758E+00     0.5112E+00     0.4466E+00     0.0000E+00
