 TX_COON_CRK               SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc
   366    12    31  1988       1       1  hru1                   1.223    4631.698       0.000    4929.291      10.227       3.421       0.000     153.521       0.000       0.000       0.027       1.682       0.000      14.821       2.704       8.762      17.299       0.000       0.000       0.269
   366    12    31  1988       2       2  hru2                   1.223    4644.308       0.000    4932.216      10.237       2.696       0.000     153.521       0.000       0.000       0.027       1.864       0.000      14.821       2.704       8.762      17.299       0.000       0.000       0.269
   366    12    31  1988       3       3  hru3                   1.221    4545.510       0.000    4912.709      10.183       6.358       0.000     153.521       0.000       0.000       0.026       0.890       0.000      14.821       2.704       8.762      17.299       0.000       0.000       0.269
   366    12    31  1988       4       4  hru4                   1.223    4645.889       0.000    4932.590      10.237       2.639       0.000     153.521       0.000       0.000       0.027       1.896       0.000      14.821       2.704       8.762      17.299       0.000       0.000       0.269
   366    12    31  1988       5       5  hru5                   1.223    4575.902       0.000    4918.233      10.193       5.625       0.000     153.521       0.000       0.000       0.026       1.050       0.000      14.821       2.704       8.762      17.299       0.000       0.000       0.269
   366    12    31  1988       6       6  hru6                   1.223    4619.413       0.000    4926.451      10.218       3.973       0.000     153.521       0.000       0.000       0.026       1.477       0.000      14.821       2.704       8.762      17.299       0.000       0.000       0.269
   366    12    31  1988       7       7  hru7                   1.223    4640.771       0.000    4931.378      10.235       2.825       0.000     153.521       0.000       0.000       0.027       1.815       0.000      14.821       2.704       8.762      17.299       0.000       0.000       0.269
   366    12    31  1988       8       8  hru8                   1.223    4623.023       0.000    4927.301      10.220       3.843       0.000     153.521       0.000       0.000       0.026       1.568       0.000      14.821       2.704       8.762      17.299       0.000       0.000       0.269
   366    12    31  1988       9       9  hru9                   1.223    4636.579       0.000    4930.385      10.233       2.977       0.000     153.521       0.000       0.000       0.027       1.739       0.000      14.821       2.704       8.762      17.299       0.000       0.000       0.269
   366    12    31  1988      10      10  hru10                  1.222    4574.948       0.000    4918.040      10.193       5.652       0.000     153.521       0.000       0.000       0.026       1.048       0.000      14.821       2.704       8.762      17.299       0.000       0.000       0.269
   366    12    31  1988      11      11  hru11                  1.223    4666.296       0.000    4937.374      10.258       1.273       0.000     153.521       0.000       0.000       0.027       2.297       0.000      14.821       2.704       8.762      17.299       0.000       0.000       0.269
   366    12    31  1988      12      12  hru12                  1.223    4657.819       0.000    4935.365      10.249       1.781       0.000     153.521       0.000       0.000       0.027       2.134       0.000      14.821       2.704       8.762      17.299       0.000       0.000       0.269
   366    12    31  1988      13      13  hru13                  1.223    4639.298       0.000    4931.025      10.233       2.878       0.000     153.521       0.000       0.000       0.027       1.760       0.000      14.821       2.704       8.762      17.299       0.000       0.000       0.269
   366    12    31  1988      14      14  hru14                  1.223    4609.677       0.000    4924.419      10.204       4.854       0.000     153.521       0.000       0.000       0.026       1.234       0.000      14.821       2.704       8.762      17.299       0.000       0.000       0.269
   366    12    31  1988      15      15  hru15                  1.146    3463.999       0.000    4680.490      10.266      30.198       0.000     153.521       0.000       0.000       0.019       0.000       0.000      14.821       2.704       8.762      17.299       0.000       0.000       0.269
   366    12    31  1988      16      16  hru16                  1.139    3412.659       0.000    4669.625      10.344      31.203       0.000     153.521       0.000       0.000       0.019       0.000       0.000      14.821       2.704       8.762      17.299       0.000       0.000       0.269
   366    12    31  1988      17      17  hru17                  1.158    3535.561       0.000    4697.806      10.214      28.974       0.000     153.521       0.000       0.000       0.020       0.000       0.000      14.821       2.704       8.762      17.299       0.000       0.000       0.269
   366    12    31  1988      18      18  hru18                  1.157    3527.304       0.000    4696.566      10.213      29.116       0.000     153.521       0.000       0.000       0.020       0.000       0.000      14.821       2.704       8.762      17.299       0.000       0.000       0.269
   366    12    31  1988      19      19  hru19                  1.158    3543.874       0.000    4699.122      10.209      28.823       0.000     153.521       0.000       0.000       0.020       0.000       0.000      14.821       2.704       8.762      17.299       0.000       0.000       0.269
   366    12    31  1988      20      20  hru20                  1.148    3486.954       0.000    4690.208      10.237      29.813       0.000     153.521       0.000       0.000       0.020       0.000       0.000      14.821       2.704       8.762      17.299       0.000       0.000       0.269
   366    12    31  1988      21      21  hru21                  1.162    3564.221       0.000    4702.489      10.199      28.460       0.000     153.521       0.000       0.000       0.020       0.000       0.000      14.821       2.704       8.762      17.299       0.000       0.000       0.269
