 TX_COON_CRK               SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et       tloss      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   366    12    31  1988       1       1  hru1                 632.100      92.000      78.300       2.834      69.666      72.500      39.107     774.177       0.000     402.808     371.370       2.834      67.874     123.237     245.785     155.339      12.882       0.000      13.700       1.570     962.650       0.000       0.000       0.001     391.020       0.000       2.834       0.000       0.000      69.666       0.000       0.000
   366    12    31  1988       2       2  hru2                 632.100      92.000      78.300       3.629      57.149      60.778      41.771     777.826       0.000     404.326     373.499       3.629      68.306     123.237     251.639     157.432      12.991       0.000      13.700       1.570     962.063       0.000       0.000       0.001     391.288       0.000       3.629       0.000       0.000      57.149       0.000       0.000
   366    12    31  1988       3       3  hru3                 632.100      92.000      78.300       0.444     133.731     134.175      25.684     752.747       0.000     393.591     359.156       0.443      65.424     123.237     218.966     144.830      12.797       0.000      13.700       1.570     962.787       0.000       0.000       0.001     391.288       0.000       0.443       0.000       0.000     133.731       0.000       0.000
   366    12    31  1988       4       4  hru4                 632.100      92.000      78.300       3.787      54.831      58.618      42.239     778.476       0.000     404.436     374.040       3.787      68.376     123.237     252.715     157.760      13.016       0.000      13.700       1.570     962.010       0.000       0.000       0.001     391.288       0.000       3.787       0.000       0.000      54.831       0.000       0.000
   366    12    31  1988       5       5  hru5                 632.100      92.000      78.300       0.791     120.594     121.385      28.609     757.592       0.000     396.141     361.450       0.791      66.021     123.237     223.949     147.224      12.801       0.000      13.700       1.570     962.154       0.000       0.000       0.001     391.288       0.000       0.791       0.000       0.000     120.594       0.000       0.000
   366    12    31  1988       6       6  hru6                 632.100      92.000      78.300       2.062      85.133      87.195      35.964     769.491       0.000     401.507     367.984       2.062      67.355     123.237     238.737     152.979      12.823       0.000      13.700       1.570     963.050       0.000       0.000       0.001     391.002       0.000       2.062       0.000       0.000      85.133       0.000       0.000
   366    12    31  1988       7       7  hru7                 632.100      92.000      78.300       3.410      60.431      63.841      41.045     776.790       0.000     404.002     372.788       3.410      68.198     123.237     250.077     156.921      12.961       0.000      13.700       1.570     961.978       0.000       0.000       0.001     391.076       0.000       3.410       0.000       0.000      60.431       0.000       0.000
   366    12    31  1988       8       8  hru8                 632.100      92.000      78.300       2.382      78.114      80.496      37.373     771.938       0.000     402.046     369.891       2.382      67.584     123.237     241.930     153.979      12.835       0.000      13.700       1.570     963.559       0.000       0.000       0.001     391.288       0.000       2.382       0.000       0.000      78.114       0.000       0.000
   366    12    31  1988       9       9  hru9                 632.100      92.000      78.300       3.072      65.643      68.715      39.940     775.090       0.000     403.692     371.398       3.072      68.023     123.237     247.620     156.126      12.914       0.000      13.700       1.570     962.070       0.000       0.000       0.001     390.762       0.000       3.072       0.000       0.000      65.643       0.000       0.000
   366    12    31  1988      10      10  hru10                632.100      92.000      78.300       0.787     120.372     121.159      28.562     757.517       0.000     396.067     361.450       0.787      66.012     123.237     223.919     147.187      12.800       0.000      13.700       1.570     962.168       0.000       0.000       0.001     390.908       0.000       0.787       0.000       0.000     120.372       0.000       0.000
   366    12    31  1988      11      11  hru11                632.100      92.000      78.300       6.074      24.691      30.765      47.901     786.591       0.000     408.107     378.484       6.073      69.212     123.237     267.248     162.153      13.432       0.000      13.700       1.570     963.226       0.000       0.000       0.001     391.288       0.000       6.073       0.000       0.000      24.691       0.000       0.000
   366    12    31  1988      12      12  hru12                632.100      92.000      78.300       5.073      37.794      42.866      45.632     783.015       0.000     406.293     376.721       5.072      68.889     123.237     260.783     160.379      13.241       0.000      13.700       1.570     961.676       0.000       0.000       0.001     391.288       0.000       5.072       0.000       0.000      37.794       0.000       0.000
   366    12    31  1988      13      13  hru13                632.100      92.000      78.300       3.162      64.849      68.011      40.244     775.470       0.000     403.751     371.719       3.161      68.075     123.237     248.179     156.366      12.930       0.000      13.700       1.570     961.647       0.000       0.000       0.001     391.288       0.000       3.161       0.000       0.000      64.849       0.000       0.000
   366    12    31  1988      14      14  hru14                632.100      92.000      78.300       1.308     105.310     106.618      31.905     762.801       0.000     398.786     364.015       1.308      66.655     123.237     230.227     149.855      12.803       0.000      13.700       1.570     961.719       0.000       0.000       0.001     391.288       0.000       1.308       0.000       0.000     105.310       0.000       0.000
