 2_stage                   SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle      sedmin     tileno3
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        ----        ----
   365    12    31  2006       1       1  2_stage                0.077       0.000       0.615       0.031       0.018       0.000       0.000       0.462       0.000
   365    12    31  2007       1       1  2_stage                6.471      14.362       8.313      13.219       3.072       0.001       0.000       0.016       0.006
   366    12    31  2008       1       1  2_stage               53.931      97.640     131.304      28.534       6.370       0.003       0.000       0.055       0.020
   365    12    31  2009       1       1  2_stage               12.637      54.513      28.318       9.117       7.773       0.003       0.000       0.007       0.035
   365    12    31  2010       1       1  2_stage                3.299       3.361       6.283       6.779       7.661       0.002       0.000       0.007       0.000
   365    12    31  2011       1       1  2_stage               19.651      28.096      25.200      18.826       8.955       0.004       0.000       0.028       0.023
   366    12    31  2012       1       1  2_stage               20.695      46.374      51.352       2.128       9.691       0.001       0.000       0.018       0.003
   365    12    31  2013       1       1  2_stage               22.230      77.572      22.008       5.367       9.113       0.003       0.000       0.016       0.005
   365    12    31  2014       1       1  2_stage                3.570       4.320       3.419       9.993       7.515       0.002       0.000       0.002       0.000
