 2_stage                   SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc
    31     1    31  2006       1       1  2_stage                0.500     500.000       0.000    2653.259       1.554       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       6.055      -1.316       2.369       7.120       0.000       0.000       0.011
    59     2    28  2006       1       1  2_stage                0.500     500.108       0.000    2187.091      -0.324       0.000       0.000      12.494       6.954       0.000       0.110       0.000       0.000       3.068      -6.839      -1.886      10.810       0.000       0.000       0.029
    90     3    31  2006       1       1  2_stage                0.500     529.477       0.000    2009.468       2.395       0.000       0.000      13.612      12.251       0.000       0.101       0.002       0.000       7.887      -1.792       3.048      15.000       0.000       0.000       0.045
   120     4    30  2006       1       1  2_stage                0.502     655.527       0.000    1497.745       9.673       3.920       0.000       5.474      10.600       0.000       0.193       0.003       0.000      18.468       4.595      11.532      17.930       0.000       0.000       0.110
   151     5    31  2006       1       1  2_stage                0.505     780.763       0.000    1101.150      12.202       2.754       0.000       3.775      14.369       0.000       0.062       0.005       0.000      19.639       8.481      14.060      20.780       0.000       0.000       0.217
   181     6    30  2006       1       1  2_stage                0.510     964.981       0.000     767.130      18.601       7.777       0.000       0.227       8.194       0.000       0.117       0.006       0.000      26.350      14.093      20.222      22.840       0.000       0.000       0.370
   212     7    31  2006       1       1  2_stage                0.504    1793.727       0.000     494.790      20.868       3.961       0.000       0.059       0.000       0.196       0.003       0.006       0.000      28.589      17.850      23.219      23.210       0.000       0.000       0.557
   243     8    31  2006       1       1  2_stage                0.257    3044.193       0.000     323.065      20.459       3.506       0.000       0.110       0.000       1.536       0.000       0.008       0.000      27.242      16.355      21.798      20.410       0.000       0.000       0.761
   273     9    30  2006       1       1  2_stage                0.019    3341.511       0.000     214.301      15.558       0.000       0.000       0.824       0.000       1.339       0.000       0.010       0.000      21.443      10.543      15.993      15.920       0.000       0.000       0.926
   304    10    31  2006       1       1  2_stage                0.006    3366.781       0.000     155.556       8.820       0.000       0.000       0.000       0.000       0.000       0.000       0.012       0.000      14.713       3.719       9.216      11.100       0.000       0.000       1.035
   334    11    30  2006       1       1  2_stage                0.006    3366.781       0.000    1560.634       4.481       0.000       0.000       0.000       0.000       0.000       0.000       0.014       0.000      10.133       1.245       5.689       7.160       0.000       0.000       1.090
   365    12    31  2006       1       1  2_stage                0.006    3366.781       0.000    1623.567       1.380       0.000       0.000       0.000       0.000       0.000       0.000       0.055       0.000       5.974      -2.661       1.656       5.660       0.000       0.000       0.834
    31     1    31  2007       1       1  2_stage                0.006    3366.781       0.000    1263.520       0.808       0.000       0.000       0.000       0.000       0.000       0.000       0.312       0.000       1.818      -5.161      -1.672       7.120       0.000       0.000       0.010
    59     2    28  2007       1       1  2_stage                0.006    3366.781       0.000    1207.748      -6.670       0.000      12.452      12.500       4.415      12.050       0.012       0.479       0.000      -4.516     -13.988      -9.252      10.810       0.000       0.000       0.012
    90     3    31  2007       1       1  2_stage                0.007    3366.781       0.000    1144.521       2.857       0.000      15.441      10.461       5.702      15.500       0.022       1.011       0.000      11.227       0.032       5.630      15.000       0.000       0.000       0.030
   120     4    30  2007       1       1  2_stage                0.010    3366.781       0.000     865.453       7.467       0.000      14.943       8.390       5.518      15.000       0.032       1.838       0.000      13.502       2.163       7.832      17.930       0.000       0.000       0.098
   151     5    31  2007       1       1  2_stage                0.016    3366.781       0.000     636.700      15.205       0.000      15.432       1.100       7.731      15.500       0.038       2.188       0.000      24.895      10.661      17.778      20.780       0.000       0.000       0.216
