 2_stage                   SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor      temp_stor         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in        temp_in        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out       temp_out
                                                                      ha           ha-m           ha-m           ha-m           m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc          m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc          m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
    31     1    31  2006         1     1  2_stage                  5.2000     0.3708E+00     0.2061E-01     0.2497E+07     0.7860E-01     0.2598E-08     0.5845E-08     0.3573E-03     0.4342E-05     0.4387E-05     0.1069E-07     0.5017E-14     0.2239E-23     0.3867E-23     0.5939E-02     0.1669E-25     0.1852E-25     0.3867E-24     0.1995E-25     0.1771E-25     0.1547E-25     0.0000E+00     0.1552E-02     0.4596E-01     0.2861E-05     0.4123E+00     0.5249E-03     0.3968E-06     0.1662E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.8063E+02     0.4650E-04     0.5545E-02     0.9022E-01     0.4650E-04     0.4650E-04     0.0000E+00     0.0000E+00     0.5369E+00     0.4789E+02     0.4308E+04     0.3830E+04     0.3351E+04     0.2881E+04     0.1436E+04     0.9574E+03     0.4787E+03     0.8268E+03     0.1222E+04     0.3568E+01     0.3960E+01     0.8268E+02     0.4265E+01     0.3786E+01     0.3307E+01     0.0000E+00
    59     2    28  2006         1     1  2_stage                  5.2000     0.1903E+00     0.1356E-01     0.1931E+07     0.2430E-08     0.1008E-08     0.4761E-08     0.7770E-03     0.4082E-08     0.1639E-03     0.1854E-06     0.4336E-09     0.0000E+00     0.0000E+00     0.4169E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1718E-02     0.5991E-05     0.3926E-05     0.2338E+00     0.7357E+00     0.1629E-03     0.4326E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.1029E+03     0.4200E-04     0.1546E-03     0.1546E-03     0.4200E-04     0.4200E-04     0.0000E+00     0.0000E+00     0.1754E-01     0.2994E-05     0.3069E-05     0.1842E+00     0.7459E+00     0.3978E-02     0.7718E-05     0.4296E-07     0.2390E-23     0.4128E-23     0.4369E+01     0.1781E-25     0.1977E-25     0.4128E-24     0.2129E-25     0.1890E-25     0.1651E-25     0.0000E+00
    90     3    31  2006         1     1  2_stage                  5.2000     0.4139E+00     0.7626E+06     0.7978E+06     0.7501E+01     0.8317E-10     0.8775E-09     0.2650E-08     0.3432E-04     0.2996E-07     0.7899E-10     0.3985E-35     0.0000E+00     0.0000E+00     0.9193E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1402E-02     0.5993E-07     0.8508E-06     0.3011E-05     0.6892E-02     0.3968E-06     0.6403E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.4263E+02     0.4650E-04     0.7326E-04     0.7326E-04     0.4650E-04     0.4650E-04     0.0000E+00     0.0000E+00     0.3253E-01     0.2443E-07     0.6095E-06     0.1003E-02     0.7334E-02     0.2277E-03     0.1500E-05     0.5584E-09     0.0000E+00     0.0000E+00     0.3107E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   120     4    30  2006         1     1  2_stage                  5.2000     0.3583E+00     0.3160E+07     0.9908E+06     0.1929E+02     0.6697E-10     0.7745E-09     0.2335E-08     0.3838E-04     0.3339E-08     0.7509E-11     0.0000E+00     0.0000E+00     0.0000E+00     0.7669E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7020E-03     0.4606E-07     0.4574E-06     0.1447E-05     0.1022E-01     0.3840E-06     0.2101E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.1651E+02     0.4500E-04     0.4961E-04     0.4961E-04     0.4500E-04     0.4500E-04     0.0000E+00     0.0000E+00     0.2363E-01     0.2304E-07     0.3124E-06     0.9991E-06     0.1126E-01     0.8850E-05     0.3456E-06     0.4481E-35     0.0000E+00     0.0000E+00     0.4552E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   151     5    31  2006         1     1  2_stage                  5.2000     0.7816E+00     0.7720E+06     0.8082E+06     0.2938E-04     0.4643E-10     0.5591E-09     0.1687E-08     0.4435E-04     0.8614E-09     0.4377E-13     0.0000E+00     0.0000E+00     0.0000E+00     0.4349E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2619E-02     0.6408E-07     0.9831E-06     0.3537E-05     0.2256E-01     0.3968E-06     0.5166E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.5296E+02     0.4650E-04     0.7858E-04     0.7858E-04     0.4650E-04     0.4650E-04     0.0000E+00     0.0000E+00     0.6852E-01     0.3206E-07     0.8419E-06     0.3060E-05     0.2360E-01     0.6666E-05     0.1254E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.5604E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   181     6    30  2006         1     1  2_stage                  5.2000     0.3827E+00     0.2341E+07     0.1868E+07     0.2805E+00     0.4919E-10     0.6117E-09     0.1843E-08     0.4703E-04     0.9086E-09     0.1254E-41     0.0000E+00     0.0000E+00     0.0000E+00     0.5320E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1060E-02     0.4500E-07     0.4042E-06     0.1233E-05     0.2005E-01     0.3840E-06     0.6379E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.5398E+01     0.4500E-04     0.4567E-04     0.4567E-04     0.4500E-04     0.4500E-04     0.0000E+00     0.0000E+00     0.2367E-01     0.2250E-07     0.2952E-06     0.9058E-06     0.2139E-01     0.1270E-05     0.1104E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.2579E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   212     7    31  2006         1     1  2_stage                  5.2000     0.8164E+00     0.1260E+00     0.1253E+07     0.9256E-02     0.2487E-09     0.1031E-08     0.1852E-08     0.6816E-04     0.2351E-07     0.2457E-08     0.1451E-10     0.0000E+00     0.2005E-02     0.4702E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1070E-02     0.8304E-04     0.1650E-03     0.1490E-04     0.5132E-01     0.4200E-05     0.1048E-02     0.0000E+00     0.0000E+00     0.1836E+04     0.5135E+01     0.7238E-04     0.6096E-04     0.6132E-04     0.6400E-04     0.5833E-04     0.0000E+00     0.0000E+00     0.7414E-01     0.4154E-04     0.1269E-03     0.1141E-04     0.5427E-01     0.1479E-02     0.1608E-03     0.3912E-05     0.0000E+00     0.1312E+03     0.2653E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   243     8    31  2006         1     1  2_stage                  5.2000     0.6063E+00     0.1743E+07     0.1935E+07     0.8774E-01     0.2388E-10     0.7531E-09     0.2731E-08     0.1808E-04     0.2755E-08     0.9038E-09     0.0000E+00     0.0000E+00     0.1358E-03     0.5774E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1157E-02     0.4691E-07     0.4459E-06     0.1387E-05     0.2161E-01     0.3968E-06     0.2611E-06     0.0000E+00     0.0000E+00     0.7636E-01     0.8284E+01     0.4650E-04     0.4963E-04     0.4963E-04     0.4650E-04     0.4650E-04     0.0000E+00     0.0000E+00     0.5376E-01     0.2369E-07     0.3256E-06     0.1024E-05     0.2321E-01     0.6482E-06     0.8038E-07     0.1559E-10     0.0000E+00     0.1472E-01     0.7619E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   273     9    30  2006         1     1  2_stage                  5.2000     0.2954E+00     0.2167E+07     0.1522E+07     0.6076E+00     0.5759E-10     0.7084E-09     0.2134E-08     0.5652E-04     0.1324E-08     0.1170E-11     0.0000E+00     0.0000E+00     0.1835E-08     0.6842E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1121E-02     0.5334E-07     0.7386E-06     0.2572E-05     0.2040E-01     0.3840E-06     0.8055E-05     0.0000E+00     0.0000E+00     0.2020E+01     0.3295E+02     0.4500E-04     0.7054E-04     0.7054E-04     0.4500E-04     0.4500E-04     0.0000E+00     0.0000E+00     0.1564E-01     0.2664E-07     0.5681E-06     0.1997E-05     0.2177E-01     0.1219E-04     0.1418E-05     0.0000E+00     0.0000E+00     0.1726E+00     0.1378E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
