 2_stage                   SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                    flo_in          aqu_in         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm 
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm 
   365    12    31  2006         1     1  2_stage               0.2132E-01     0.0000E+00     0.9786E+00     0.6822E+00     0.4605E-01     0.2303E-01     0.2303E-01     0.0000E+00     0.2303E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.2372E+04     0.2591E+03     0.2555E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.5455E+00     0.0000E+00     0.2504E+02
   365    12    31  2007         1     1  2_stage               0.1863E+00     0.0000E+00     0.5884E+00     0.5961E+01     0.7801E+01     0.2706E+02     0.3900E+01     0.0000E+00     0.2738E-01     0.2184E+01     0.2098E+02     0.0000E+00     0.2373E+04     0.2592E+03     0.2555E+01     0.2800E-02     0.2202E+00     0.0000E+00     0.4767E+01     0.0000E+00     0.1506E+02
   366    12    31  2008         1     1  2_stage               0.7388E+00     0.0000E+00     0.1170E+01     0.2364E+02     0.7114E+02     0.3988E+03     0.3557E+02     0.0000E+00     0.1263E+00     0.2484E+03     0.1148E+03     0.0000E+00     0.2383E+04     0.2608E+03     0.2562E+01     0.3181E+00     0.1202E+01     0.0000E+00     0.1890E+02     0.0000E+00     0.2993E+02
   365    12    31  2009         1     1  2_stage               0.3032E+00     0.0000E+00     0.7470E+00     0.9703E+01     0.1547E+02     0.1137E+03     0.7735E+01     0.0000E+00     0.5247E-01     0.6621E+02     0.3978E+02     0.0000E+00     0.2379E+04     0.2606E+03     0.2555E+01     0.8468E-01     0.4155E+00     0.0000E+00     0.7758E+01     0.0000E+00     0.1911E+02
   365    12    31  2010         1     1  2_stage               0.1368E+00     0.0000E+00     0.4279E+00     0.4377E+01     0.4027E+01     0.1407E+02     0.2014E+01     0.0000E+00     0.2944E-01     0.0000E+00     0.1206E+02     0.0000E+00     0.2380E+04     0.2606E+03     0.2555E+01     0.0000E+00     0.1259E+00     0.0000E+00     0.3500E+01     0.0000E+00     0.1095E+02
   365    12    31  2011         1     1  2_stage               0.3589E+00     0.0000E+00     0.8575E+00     0.1148E+02     0.2428E+02     0.1083E+03     0.1214E+02     0.0000E+00     0.7603E-01     0.4590E+02     0.5028E+02     0.0000E+00     0.2381E+04     0.2608E+03     0.2555E+01     0.5866E-01     0.5247E+00     0.0000E+00     0.9184E+01     0.0000E+00     0.2194E+02
   366    12    31  2012         1     1  2_stage               0.2502E+00     0.0000E+00     0.4744E+00     0.8008E+01     0.2554E+02     0.7966E+02     0.1277E+02     0.0000E+00     0.4521E-01     0.3253E+02     0.3436E+02     0.0000E+00     0.2389E+04     0.2617E+03     0.2562E+01     0.4155E-01     0.3582E+00     0.0000E+00     0.6403E+01     0.0000E+00     0.1214E+02
   365    12    31  2013         1     1  2_stage               0.2399E+00     0.0000E+00     0.7324E+00     0.7675E+01     0.2754E+02     0.6560E+02     0.1377E+02     0.0000E+00     0.6893E-01     0.1962E+02     0.3220E+02     0.0000E+00     0.2384E+04     0.2611E+03     0.2555E+01     0.2504E-01     0.3357E+00     0.0000E+00     0.6137E+01     0.0000E+00     0.1874E+02
   365    12    31  2014         1     1  2_stage               0.1038E+00     0.0000E+00     0.5093E+00     0.3321E+01     0.4795E+01     0.1010E+02     0.2398E+01     0.0000E+00     0.1066E+00     0.0000E+00     0.7703E+01     0.0000E+00     0.2384E+04     0.2611E+03     0.2555E+01     0.0000E+00     0.8027E-01     0.0000E+00     0.2655E+01     0.0000E+00     0.1303E+02
