 2_stage                   SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor      temp_stor         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in        temp_in        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out       temp_out
                                                                      ha           ha-m           ha-m           ha-m           m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc          m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc          m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
   365    12    31  2006       1       1  drainage_ditch       0.5200E+01     0.5608E+01     0.1151E+08     0.2138E+08     0.4109E+01     0.2372E-10     0.2205E-08     0.8648E-08     0.1258E-03     0.8063E-08     0.7821E-08     0.0000E+00     0.0000E+00     0.4428E-03     0.5922E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2132E-01     0.4605E-01     0.1873E-03     0.6462E+00     0.1068E+01     0.1710E-03     0.1245E-02     0.0000E+00     0.0000E+00     0.1849E+04     0.6352E+03     0.5734E-03     0.6598E-02     0.9127E-01     0.5650E-03     0.5593E-03     0.0000E+00     0.0000E+00     0.9786E+00     0.4789E+02     0.4308E+04     0.3830E+04     0.3352E+04     0.2881E+04     0.1436E+04     0.9574E+03     0.4787E+03     0.9598E+03     0.1260E+04     0.3568E+01     0.3960E+01     0.8268E+02     0.4265E+01     0.3786E+01     0.3307E+01     0.0000E+00
   365    12    31  2007       1       1  drainage_ditch       0.5201E+01     0.5494E+01     0.1549E+08     0.4641E+08     0.4500E-02     0.1195E-04     0.1066E-08     0.9742E-03     0.2047E-02     0.4136E-05     0.2372E-08     0.7019E-13     0.0000E+00     0.6308E+03     0.3767E-18     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1863E+00     0.7801E+01     0.1933E+02     0.5739E+01     0.2043E+03     0.1326E-02     0.1385E+02     0.0000E+00     0.0000E+00     0.1148E+08     0.5640E+03     0.2220E+01     0.9323E+00     0.9821E+00     0.1514E+01     0.1037E+01     0.0000E+00     0.0000E+00     0.5884E+00     0.2706E+02     0.1926E+02     0.5609E+01     0.2054E+03     0.7130E+01     0.4332E+01     0.2183E-01     0.0000E+00     0.8579E+07     0.1256E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   366    12    31  2008       1       1  drainage_ditch       0.5209E+01     0.5988E+01     0.2333E+08     0.4253E+08     0.2728E+00     0.1011E-02     0.2237E-08     0.8332E-02     0.1112E-02     0.1185E-04     0.1564E-09     0.7315E-12     0.0000E+00     0.1659E+04     0.5605E-44     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7388E+00     0.7114E+02     0.1595E+03     0.8572E+02     0.7185E+03     0.1622E-02     0.2693E+02     0.0000E+00     0.0000E+00     0.5816E+08     0.4275E+03     0.2200E+02     0.6876E+01     0.7369E+01     0.1501E+02     0.1028E+02     0.0000E+00     0.0000E+00     0.1170E+01     0.3988E+03     0.1592E+03     0.8493E+02     0.7213E+03     0.1020E+02     0.9360E+01     0.9998E-01     0.0000E+00     0.4912E+08     0.9654E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2009       1       1  drainage_ditch       0.5214E+01     0.6005E+01     0.1684E+08     0.4416E+08     0.1356E+01     0.3381E-05     0.2192E-04     0.1872E-04     0.5039E-02     0.8830E-04     0.6455E-04     0.1125E-06     0.0000E+00     0.4472E+03     0.6329E-30     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3032E+00     0.1547E+02     0.4921E+02     0.1811E+02     0.3104E+03     0.1843E-02     0.2601E+02     0.0000E+00     0.0000E+00     0.5040E+08     0.4491E+03     0.3789E+01     0.1997E+01     0.2082E+01     0.2585E+01     0.1770E+01     0.0000E+00     0.0000E+00     0.7470E+00     0.1137E+03     0.4894E+02     0.1773E+02     0.3129E+03     0.1150E+02     0.6951E+01     0.6541E-01     0.0000E+00     0.3448E+08     0.1098E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2010       1       1  drainage_ditch       0.5215E+01     0.4515E+01     0.1937E+08     0.4567E+08     0.2436E+01     0.8265E-02     0.2985E-02     0.1825E-03     0.4289E+00     0.2322E-04     0.2314E-03     0.2599E-05     0.0000E+00     0.7726E+04     0.1940E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1368E+00     0.4027E+01     0.7381E+01     0.4132E+01     0.2465E+03     0.1387E-02     0.2829E+01     0.0000E+00     0.0000E+00     0.2740E+08     0.5712E+03     0.1251E+01     0.4323E+00     0.4601E+00     0.8534E+00     0.5845E+00     0.0000E+00     0.0000E+00     0.4279E+00     0.1406E+02     0.7357E+01     0.4004E+01     0.2482E+03     0.1417E+01     0.1401E+01     0.6379E-02     0.0000E+00     0.1963E+08     0.1345E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2011       1       1  drainage_ditch       0.5218E+01     0.6652E+01     0.1902E+08     0.4456E+08     0.3905E+01     0.8638E-02     0.5051E-02     0.3167E-03     0.1288E-01     0.1096E-04     0.1314E-03     0.3376E-05     0.0000E+00     0.5355E+04     0.9082E-41     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3589E+00     0.2428E+02     0.4309E+02     0.1686E+02     0.5206E+03     0.2136E-02     0.1779E+02     0.0000E+00     0.0000E+00     0.6602E+08     0.3869E+03     0.6231E+01     0.2423E+01     0.2562E+01     0.4251E+01     0.2911E+01     0.0000E+00     0.0000E+00     0.8575E+00     0.1083E+03     0.4291E+02     0.1656E+02     0.5242E+03     0.7718E+01     0.5648E+01     0.5064E-01     0.0000E+00     0.4919E+08     0.1216E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   366    12    31  2012       1       1  drainage_ditch       0.5223E+01     0.3748E+01     0.1248E+08     0.4361E+08     0.3103E-04     0.1292E-10     0.5622E-08     0.2229E-07     0.3124E-02     0.1998E-07     0.1825E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.5973E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2502E+00     0.2554E+02     0.5272E+02     0.3244E+02     0.1593E+03     0.7354E-03     0.2148E+02     0.0000E+00     0.0000E+00     0.7243E+08     0.4869E+03     0.6054E+01     0.1973E+01     0.2109E+01     0.4130E+01     0.2828E+01     0.0000E+00     0.0000E+00     0.4744E+00     0.7967E+02     0.5253E+02     0.3207E+02     0.1613E+03     0.8228E+01     0.1012E+02     0.4626E-01     0.0000E+00     0.5958E+08     0.7730E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2013       1       1  drainage_ditch       0.5225E+01     0.6226E+01     0.1761E+08     0.4674E+08     0.5432E-06     0.1216E-10     0.5162E-08     0.2047E-07     0.3786E-02     0.2567E-07     0.2499E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.5980E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2399E+00     0.2754E+02     0.7218E+02     0.1487E+02     0.2431E+03     0.1571E-02     0.3923E+02     0.0000E+00     0.0000E+00     0.9347E+08     0.5025E+03     0.6400E+01     0.1926E+01     0.2069E+01     0.4366E+01     0.2990E+01     0.0000E+00     0.0000E+00     0.7324E+00     0.6560E+02     0.7171E+02     0.1455E+02     0.2455E+03     0.1716E+02     0.6113E+01     0.1249E+00     0.0000E+00     0.6716E+08     0.8662E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2014       1       1  drainage_ditch       0.5226E+01     0.5012E+01     0.6360E+07     0.3914E+08     0.5761E-03     0.6660E-07     0.4291E-08     0.1078E-03     0.3637E-02     0.4110E-06     0.3287E-07     0.0000E+00     0.0000E+00     0.1386E-26     0.5940E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1038E+00     0.4795E+01     0.7311E+01     0.2354E+01     0.3273E+03     0.1153E-02     0.6209E+01     0.0000E+00     0.0000E+00     0.1041E+09     0.4956E+03     0.1196E+01     0.3648E+00     0.3896E+00     0.8162E+00     0.5591E+00     0.0000E+00     0.0000E+00     0.5093E+00     0.1010E+02     0.7249E+01     0.2274E+01     0.3302E+03     0.2992E+01     0.1807E+01     0.1479E-01     0.0000E+00     0.6050E+08     0.8451E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
