 2_stage                   SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                    flo_in          aqu_in         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm 
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm 
    31     1    31  2006       1       1  drainage_ditch       0.5006E-04     0.0000E+00     0.1732E-01     0.1602E-02     0.4596E-01     0.2298E-01     0.2298E-01     0.0000E+00     0.2298E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.6500E+01     0.7100E+00     0.7000E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.3971E-01     0.0000E+00     0.1374E+02
    59     2    28  2006       1       1  drainage_ditch       0.6137E-04     0.0000E+00     0.6264E-03     0.1964E-02     0.5991E-05     0.2996E-05     0.2996E-05     0.0000E+00     0.2996E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.6500E+01     0.7100E+00     0.7000E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.4397E-01     0.0000E+00     0.4488E+00
    90     3    31  2006       1       1  drainage_ditch       0.4524E-04     0.0000E+00     0.1049E-02     0.1448E-02     0.5993E-07     0.2997E-07     0.2997E-07     0.0000E+00     0.2997E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.6500E+01     0.7100E+00     0.7000E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.3589E-01     0.0000E+00     0.8325E+00
   120     4    30  2006       1       1  drainage_ditch       0.2340E-04     0.0000E+00     0.7876E-03     0.7488E-03     0.4606E-07     0.2303E-07     0.2303E-07     0.0000E+00     0.2303E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.6500E+01     0.7100E+00     0.7000E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1796E-01     0.0000E+00     0.6046E+00
   151     5    31  2006       1       1  drainage_ditch       0.8447E-04     0.0000E+00     0.2210E-02     0.2703E-02     0.6408E-07     0.3204E-07     0.3204E-07     0.0000E+00     0.3204E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.6500E+01     0.7100E+00     0.7000E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.6700E-01     0.0000E+00     0.1753E+01
   181     6    30  2006       1       1  drainage_ditch       0.3534E-04     0.0000E+00     0.7891E-03     0.1131E-02     0.4500E-07     0.2250E-07     0.2250E-07     0.0000E+00     0.2250E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.6500E+01     0.7100E+00     0.7000E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2713E-01     0.0000E+00     0.6058E+00
   212     7    31  2006       1       1  drainage_ditch       0.3453E-04     0.0000E+00     0.2391E-02     0.1105E-02     0.8304E-04     0.4152E-04     0.4152E-04     0.0000E+00     0.4152E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.6500E+01     0.7100E+00     0.7000E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2739E-01     0.0000E+00     0.1897E+01
   243     8    31  2006       1       1  drainage_ditch       0.3733E-04     0.0000E+00     0.1734E-02     0.1194E-02     0.4691E-07     0.2345E-07     0.2345E-07     0.0000E+00     0.2345E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.6500E+01     0.7100E+00     0.7000E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2961E-01     0.0000E+00     0.1376E+01
   273     9    30  2006       1       1  drainage_ditch       0.3735E-04     0.0000E+00     0.5214E-03     0.1195E-02     0.5334E-07     0.2667E-07     0.2667E-07     0.0000E+00     0.2667E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.6500E+01     0.7100E+00     0.7000E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2867E-01     0.0000E+00     0.4002E+00
