 2_stage                   SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                    flo_in          aqu_in         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm 
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm 
   365    12    31  2006       1       1  drainage_ditch       0.5841E-04     0.0000E+00     0.2681E-02     0.1869E-02     0.4605E-01     0.2303E-01     0.2303E-01     0.0000E+00     0.2303E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.6500E+01     0.7100E+00     0.7000E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.5455E+00     0.0000E+00     0.2504E+02
   365    12    31  2007       1       1  drainage_ditch       0.5104E-03     0.0000E+00     0.1612E-02     0.1633E-01     0.7801E+01     0.2706E+02     0.3900E+01     0.0000E+00     0.2738E-01     0.2184E+01     0.2098E+02     0.0000E+00     0.6501E+01     0.7100E+00     0.7000E-02     0.7671E-05     0.6033E-03     0.0000E+00     0.4767E+01     0.0000E+00     0.1506E+02
   366    12    31  2008       1       1  drainage_ditch       0.2019E-02     0.0000E+00     0.3196E-02     0.6459E-01     0.7114E+02     0.3988E+03     0.3557E+02     0.0000E+00     0.1263E+00     0.2484E+03     0.1148E+03     0.0000E+00     0.6511E+01     0.7127E+00     0.7000E-02     0.8692E-03     0.3285E-02     0.0000E+00     0.1890E+02     0.0000E+00     0.2993E+02
   365    12    31  2009       1       1  drainage_ditch       0.8307E-03     0.0000E+00     0.2047E-02     0.2658E-01     0.1547E+02     0.1137E+03     0.7735E+01     0.0000E+00     0.5247E-01     0.6621E+02     0.3978E+02     0.0000E+00     0.6517E+01     0.7139E+00     0.7000E-02     0.2320E-03     0.1138E-02     0.0000E+00     0.7758E+01     0.0000E+00     0.1911E+02
   365    12    31  2010       1       1  drainage_ditch       0.3747E-03     0.0000E+00     0.1172E-02     0.1199E-01     0.4027E+01     0.1407E+02     0.2014E+01     0.0000E+00     0.2944E-01     0.0000E+00     0.1206E+02     0.0000E+00     0.6519E+01     0.7141E+00     0.6999E-02     0.0000E+00     0.3448E-03     0.0000E+00     0.3500E+01     0.0000E+00     0.1095E+02
   365    12    31  2011       1       1  drainage_ditch       0.9833E-03     0.0000E+00     0.2349E-02     0.3147E-01     0.2428E+02     0.1083E+03     0.1214E+02     0.0000E+00     0.7603E-01     0.4590E+02     0.5028E+02     0.0000E+00     0.6522E+01     0.7144E+00     0.6999E-02     0.1607E-03     0.1437E-02     0.0000E+00     0.9184E+01     0.0000E+00     0.2194E+02
   366    12    31  2012       1       1  drainage_ditch       0.6837E-03     0.0000E+00     0.1296E-02     0.2188E-01     0.2554E+02     0.7966E+02     0.1277E+02     0.0000E+00     0.4521E-01     0.3253E+02     0.3436E+02     0.0000E+00     0.6528E+01     0.7150E+00     0.6999E-02     0.1135E-03     0.9787E-03     0.0000E+00     0.6403E+01     0.0000E+00     0.1214E+02
   365    12    31  2013       1       1  drainage_ditch       0.6571E-03     0.0000E+00     0.2007E-02     0.2103E-01     0.2754E+02     0.6560E+02     0.1377E+02     0.0000E+00     0.6893E-01     0.1962E+02     0.3220E+02     0.0000E+00     0.6531E+01     0.7152E+00     0.6999E-02     0.6861E-04     0.9196E-03     0.0000E+00     0.6137E+01     0.0000E+00     0.1874E+02
   365    12    31  2014       1       1  drainage_ditch       0.2843E-03     0.0000E+00     0.1395E-02     0.9098E-02     0.4795E+01     0.1010E+02     0.2398E+01     0.0000E+00     0.1066E+00     0.0000E+00     0.7703E+01     0.0000E+00     0.6532E+01     0.7153E+00     0.6999E-02     0.0000E+00     0.2199E-03     0.0000E+00     0.2655E+01     0.0000E+00     0.1303E+02
