 2_stage                   SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle      sedmin     tileno3
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        ----        ----
    31     1    31  2006       1       1  field                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    31     1    31  2006       2       2  sat_buff               0.153       0.000       0.785       0.000       0.000       0.000       0.000       0.589       0.000
    59     2    28  2006       1       1  field                  0.000       0.000       0.000       0.059       0.000       0.000       0.000       0.000       0.000
    59     2    28  2006       2       2  sat_buff               0.000       0.000       0.444       0.000       0.000       0.000       0.000       0.336       0.000
    90     3    31  2006       1       1  field                  0.000       0.000       0.000       0.000       0.001       0.000       0.000       0.000       0.000
    90     3    31  2006       2       2  sat_buff               0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   120     4    30  2006       1       1  field                  0.000       0.000       0.000       0.000       0.001       0.000       0.000       0.000       0.000
   120     4    30  2006       2       2  sat_buff               0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   151     5    31  2006       1       1  field                  0.000       0.000       0.000       0.000       0.002       0.000       0.000       0.000       0.000
   151     5    31  2006       2       2  sat_buff               0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   181     6    30  2006       1       1  field                  0.000       0.000       0.000       0.000       0.002       0.000       0.000       0.000       0.000
   181     6    30  2006       2       2  sat_buff               0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   212     7    31  2006       1       1  field                  0.000       0.000       0.000       0.002       0.002       0.000       0.000       0.000       0.000
   212     7    31  2006       2       2  sat_buff               0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   243     8    31  2006       1       1  field                  0.000       0.000       0.000       0.000       0.002       0.000       0.000       0.000       0.000
   243     8    31  2006       2       2  sat_buff               0.000       0.000       0.000       0.000       0.001       0.000       0.000       0.000       0.000
