 2_stage                   SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et       tloss      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   365    12    31  2006       1       1  field               1078.500      27.500      27.329       0.325       6.581       6.907      15.402     851.845       0.000       0.000     851.845       0.325      60.181      56.552     260.723     147.679      25.264       0.000       0.000       0.160    1037.169       0.000       0.000       0.000       0.000       0.000       0.162       0.000       0.162       3.291       0.000       3.291
   365    12    31  2006       2       2  sat_buff             981.100      25.400      25.200     322.690       3.560     326.250       8.403     704.923       0.000     167.481     537.441     322.689      40.500      56.552     266.168     106.436      18.495       0.000       0.000       0.192    1008.420       0.000       0.000       0.000     274.229       0.000     322.689       0.000       0.000       3.560       0.000       0.000
   365    12    31  2007       1       1  field               1056.400     206.400     141.377      39.437      40.109      80.589      68.722     805.359       0.000       0.000     805.359      39.436      64.423      56.552     299.677     260.748      26.066       0.000       0.000      11.231    1093.842       1.044       0.000       0.000       0.000       0.000      19.718       0.000      19.718      20.055       0.000      20.055
   365    12    31  2007       2       2  sat_buff            1003.400     191.600     134.950    1973.397      77.147    2050.544     113.643     778.287       0.000      13.225     765.062    1973.397      93.657      56.552     409.256     401.375      73.184       0.000       0.000      10.528    1187.997       0.000       0.000       0.000    1671.209       0.000    1973.397       0.000       0.000      77.147       0.000       0.000
   366    12    31  2008       1       1  field               1149.700     196.200     257.555     313.836      45.830     363.634      75.425     817.085       0.000       0.000     817.085     313.836      71.902      56.552     255.934     285.843      34.091       0.000       0.000       4.282    1008.811       3.968       0.000       0.000       0.000       0.000     156.918       0.000     156.918      22.915       0.000      22.915
   366    12    31  2008       2       2  sat_buff            1084.300     197.400     253.950    6209.765      80.906    6290.670     117.940     689.591       0.000      11.322     678.269    6209.765      98.733      56.552     409.256     409.023      76.728       0.000       0.000       4.960    1025.378       0.000       0.000       0.000    1909.584       0.000    6209.765       0.000       0.000      80.906       0.000       0.000
   365    12    31  2009       1       1  field               1151.700      98.700      53.533      89.315      43.229     138.058      72.044     881.945       0.000       0.000     881.945      89.314      68.255      56.552     270.552     276.828      34.919       0.000       0.000       3.378    1000.757       5.514       0.000       0.000       0.000       0.000      44.657       0.000      44.657      21.614       0.000      21.614
   365    12    31  2009       2       2  sat_buff            1226.300     108.500      65.550    3130.567      79.183    3209.750     115.708     736.653       0.000      13.391     723.262    3130.567      98.684      56.552     409.256     408.987      76.698       0.000       0.000       3.771    1083.098       0.000       0.000       0.000    1801.201       0.000    3130.567       0.000       0.000      79.183       0.000       0.000
   365    12    31  2010       1       1  field                865.700      77.900     113.755      21.780      36.401      58.181      63.420     801.676       0.000       0.000     801.676      21.780      65.563      56.552     251.487     250.420      24.730       0.000       0.000      10.017    1078.443       0.000       0.000       0.000       0.000       0.000      10.890       0.000      10.890      18.200       0.000      18.200
   365    12    31  2010       2       2  sat_buff             827.300     106.700     140.139    1434.537      80.436    1514.973     117.346     778.409       0.000      14.064     764.346    1434.537      98.777      56.552     409.256     409.055      76.754       0.000       0.000      10.017    1159.254       0.000       0.000       0.000    1516.695       0.000    1434.537       0.000       0.000      80.436       0.000       0.000
   365    12    31  2011       1       1  field               1274.900     142.900     145.771     114.854      44.084     162.293      73.502     887.567       0.000       0.000     887.567     114.853      66.666      56.552     409.256     284.872      34.503       0.000       0.000       4.295    1021.320       3.356       0.000       0.000       0.000       0.000      57.427       0.000      57.427      22.042       0.000      22.042
   365    12    31  2011       2       2  sat_buff            1301.600     133.600     143.211    3632.404      81.595    3713.999     118.627     757.249       0.000      13.728     743.521    3632.403      98.760      56.552     409.252     409.067      76.768       0.000       0.000       4.108    1106.552       0.000       0.000       0.000    1836.820       0.000    3632.403       0.000       0.000      81.595       0.000       0.000
   366    12    31  2012       1       1  field                717.700      63.600      58.694      80.654      41.974     124.986      69.502     725.923       0.000       0.000     725.923      80.654      66.124      56.552     202.767     250.010      25.829       0.000       0.000       0.445    1244.043       2.357       0.000       0.000       0.000       0.000      40.327       0.000      40.327      20.987       0.000      20.987
   366    12    31  2012       2       2  sat_buff             677.300      58.200      45.100    2015.998      81.670    2097.668     118.730     845.757       0.000      18.523     827.234    2015.998      88.647      56.552     409.256     401.009      69.919       0.000       0.000       0.635    1315.524       0.000       0.000       0.000    1748.919       0.000    2015.998       0.000       0.000      81.670       0.000       0.000
   365    12    31  2013       1       1  field               1191.767     125.667      96.804      62.194      37.947     101.259      65.361     958.522       0.000       0.000     958.522      62.194      67.476      56.552     241.569     262.535      29.507       0.000       0.000       2.956    1065.871       1.117       0.000       0.000       0.000       0.000      31.097       0.000      31.097      18.974       0.000      18.974
   365    12    31  2013       2       2  sat_buff            1117.282     109.482     115.413    2655.028      80.277    2735.305     117.117     729.450       0.000      14.761     714.689    2655.027      98.783      56.552     409.256     409.093      76.793       0.000       0.000       2.348    1079.041       0.000       0.000       0.000    1581.141       0.000    2655.027       0.000       0.000      80.277       0.000       0.000
   365    12    31  2014       1       1  field                959.122     124.840     132.566      18.405      27.933      46.338      52.041     943.127       0.000       0.000     943.127      18.405      68.881      56.552     170.026     211.496      20.207       0.000       0.000       8.934    1183.465       0.000       0.000       0.000       0.000       0.000       9.202       0.000       9.202      13.966       0.000      13.966
   365    12    31  2014       2       2  sat_buff             712.244      58.963      63.178     980.282      77.694    1057.976     113.874     749.189       0.000      16.730     732.458     980.281      98.338      56.552     409.255     408.709      76.448       0.000       0.000       2.114    1156.115       0.000       0.000       0.000    1163.857       0.000     980.281       0.000       0.000      77.694       0.000       0.000
