 hru1                      SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   365    12    31  2002       1    frse_suhf                   0.000       0.000       0.000       0.000
   365    12    31  2002       2    frse_suhf                   0.000       0.000       0.000       0.000
   365    12    31  2002       3    rngb_suhf                   0.000       0.000       0.000       0.000
   365    12    31  2002       4    rngb_suhf                   0.000       0.000       0.000       0.000
   365    12    31  2002       5    rnge_suhf                   0.000       0.000       0.000       0.000
   365    12    31  2002       6    rnge_suhf                   0.000       0.000       0.000       0.000
   365    12    31  2002       7    rnge_suhf                   0.000       0.000       0.000       0.000
   365    12    31  2002       8    rnge_suhf                   0.000       0.000       0.000       0.000
   365    12    31  2002       9    rngb_suhf                   0.000       0.000       0.000       0.000
   365    12    31  2002      10    rngb_suhf                   0.000       0.000       0.000       0.000
   365    12    31  2002      11    rngb_suhf                   0.000       0.000       0.000       0.000
   365    12    31  2002      12    rngb_suhf                   0.000       0.000       0.000       0.000
   365    12    31  2002      13    rngb_suhf                   0.000       0.000       0.000       0.000
   365    12    31  2002      14    rngb_suhf                   0.000       0.000       0.000       0.000
   365    12    31  2002      15    rngb_suhf                   0.000       0.000       0.000       0.000
   365    12    31  2002      16    rngb_suhf                   0.000       0.000       0.000       0.000
