 hru1                      SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle      sedmin     tileno3
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        ----        ----
   365    12    31  2002       1       1  hru1                   0.000       0.000       0.000       0.227      11.912       0.012       0.000       0.000       0.000
   365    12    31  2002       2       2  hru2                   0.000       0.000       0.000       0.227      11.912       0.012       0.000       0.000       0.000
   365    12    31  2002       3       3  hru3                   0.000       0.000       0.000       0.608      24.481       0.025       0.000       0.000       0.000
   365    12    31  2002       4       4  hru4                   0.000       0.000       0.000       0.078     130.025       0.006       0.000       0.000       0.000
   365    12    31  2002       5       5  hru5                   0.000       0.000       0.000       0.113       0.654       0.010       0.000       0.000       0.000
   365    12    31  2002       6       6  hru6                   0.000       0.000       0.000       0.044       0.845       0.009       0.000       0.000       0.000
   365    12    31  2002       7       7  hru7                   0.000       0.000       0.000       0.045       0.261       0.009       0.000       0.000       0.000
   365    12    31  2002       8       8  hru8                   0.000       0.000       0.000       0.194       1.111       0.011       0.000       0.000       0.000
   365    12    31  2002       9       9  hru9                   0.000       0.000       0.000       0.101      28.265       0.007       0.000       0.000       0.000
   365    12    31  2002      10      10  hru10                  0.000       0.000       0.000       0.085       0.418       0.012       0.000       0.000       0.000
   365    12    31  2002      11      11  hru11                  0.000       0.000       0.000       0.066       0.175       0.012       0.000       0.000       0.000
   365    12    31  2002      12      12  hru12                  0.000       0.000       0.000       0.175       1.992       0.013       0.000       0.000       0.000
   365    12    31  2002      13      13  hru13                  0.000       0.000       0.000       0.292       0.301       0.009       0.000       0.000       0.000
   365    12    31  2002      14      14  hru14                  0.000       0.000       0.000       1.150       0.668       0.011       0.000       0.000       0.000
   365    12    31  2002      15      15  hru15                  0.000       0.000       0.000       0.292       0.301       0.009       0.000       0.000       0.000
   365    12    31  2002      16      16  hru16                  0.000       0.000       0.000       1.149       0.749       0.011       0.000       0.000       0.000
