 hru1                      SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc
   365    12    31  2002       1       1  hru1                   6.013  184108.562       0.000    7214.111      16.957       1.057       0.000       0.000       0.000       0.000       0.248      25.666       0.000      22.958      10.213      16.585      19.696       0.000       0.000       0.501
   365    12    31  2002       2       2  hru2                   6.013  184108.562       0.000    7214.111      16.957       1.057       0.000       0.000       0.000       0.000       0.248      25.666       0.000      22.958      10.213      16.585      19.696       0.000       0.000       0.501
   365    12    31  2002       3       3  hru3                   1.961   77549.172       0.000    5564.672      17.069       0.000       0.160       0.000       0.000       0.000       0.304      52.743       0.000      22.958      10.213      16.585      19.696       0.000       0.000       0.501
   365    12    31  2002       4       4  hru4                   1.961   77549.172       0.000    5565.065      17.069       0.000       0.000       0.000       0.000       0.000       0.349      14.693       0.000      22.958      10.213      16.585      19.696       0.000       0.000       0.501
   365    12    31  2002       5       5  hru5                   2.244   73035.031       0.000    4345.174      19.315       0.000       3.886       0.000       0.000       0.000       0.140       3.957       0.000      26.684      13.060      19.872      19.581       0.000       0.000       0.594
   365    12    31  2002       6       6  hru6                   2.244   73035.031       0.000    4344.794      19.308       0.000       3.711       0.000       0.000       0.000       0.091       1.834       0.000      26.684      13.060      19.872      19.581       0.000       0.000       0.594
   365    12    31  2002       7       7  hru7                   2.244   73035.031       0.000    4344.751      19.307       0.000       3.918       0.000       0.000       0.000       0.091       1.990       0.000      26.684      13.060      19.872      19.581       0.000       0.000       0.594
   365    12    31  2002       8       8  hru8                   2.244   73035.031       0.000    4344.444      19.321       0.000       3.851       0.000       0.000       0.000       0.201       5.528       0.000      26.684      13.060      19.872      19.581       0.000       0.000       0.594
   365    12    31  2002       9       9  hru9                   2.350   76453.867       0.000    4973.374      18.576       1.524       1.139       0.000       0.000       0.000       0.274       3.512       0.000      25.167      12.391      18.779      19.581       0.000       0.000       0.558
   365    12    31  2002      10      10  hru10                  2.350   76453.867       0.000    4972.318      18.573       0.477       4.049       0.000       0.000       0.000       0.091       2.948       0.000      25.167      12.391      18.779      19.581       0.000       0.000       0.558
   365    12    31  2002      11      11  hru11                  2.350   76453.867       0.000    4968.998      18.571       0.431       4.120       0.000       0.000       0.000       0.069       1.322       0.000      25.167      12.391      18.779      19.581       0.000       0.000       0.558
   365    12    31  2002      12      12  hru12                  2.350   76453.867       0.000    4967.401      18.590       0.000       4.683       0.000       0.000       0.000       0.215       8.748       0.000      25.167      12.391      18.779      19.581       0.000       0.000       0.558
   365    12    31  2002      13      13  hru13                  2.309   64305.953       0.000    2707.339      22.126      13.677      14.323       0.000       0.000       0.000       0.102       3.076       0.000      32.055      15.742      23.899      19.581       0.000       0.000       0.707
   365    12    31  2002      14      14  hru14                  2.309   64305.953       0.000    2705.340      22.142      13.484      18.333       0.000       0.000       0.000       0.323       6.906       0.000      32.055      15.742      23.899      19.581       0.000       0.000       0.707
   365    12    31  2002      15      15  hru15                  2.309   64305.953       0.000    2707.339      22.126      13.677      14.323       0.000       0.000       0.000       0.102       3.076       0.000      32.055      15.742      23.899      19.581       0.000       0.000       0.707
   365    12    31  2002      16      16  hru16                  2.309   64305.953       0.000    2705.343      22.142      13.487      18.261       0.000       0.000       0.000       0.323       6.888       0.000      32.055      15.742      23.899      19.581       0.000       0.000       0.707
