 hru1                      SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc
   365    12    31  1998       1       1  hru1                  12.286  143260.375       0.000    4595.197      16.447       0.000       0.000       0.000       0.000       0.000       0.474      13.566       0.000      20.997      10.562      15.779      19.695       0.000       0.000       0.467
   365    12    31  1998       2       2  hru2                  12.286  143260.375       0.000    4595.197      16.447       0.000       0.000       0.000       0.000       0.000       0.474      13.566       0.000      20.997      10.562      15.779      19.695       0.000       0.000       0.467
   365    12    31  1998       3       3  hru3                   4.031   39082.340       0.000    2910.476      16.641       0.000       0.000       0.000       0.000       0.000       0.473      10.840       0.000      20.997      10.562      15.779      19.695       0.000       0.000       0.467
   365    12    31  1998       4       4  hru4                   4.031   39082.340       0.000    2912.214      16.634       0.000       0.000       0.000       0.000       0.000       0.439       4.184       0.000      20.997      10.562      15.779      19.695       0.000       0.000       0.467
   365    12    31  1998       5       5  hru5                   3.995   38614.387       0.000    2542.612      18.924       0.000       0.000       0.000       0.000       0.000       0.168       0.613       0.000      24.932      13.179      19.056      19.580       0.000       0.000       0.558
   365    12    31  1998       6       6  hru6                   3.995   38614.387       0.000    2543.515      18.905       0.000       0.000       0.000       0.000       0.000       0.118       0.318       0.000      24.932      13.179      19.056      19.580       0.000       0.000       0.558
   365    12    31  1998       7       7  hru7                   3.995   38614.387       0.000    2543.330      18.909       0.000       0.000       0.000       0.000       0.000       0.118       0.328       0.000      24.932      13.179      19.056      19.580       0.000       0.000       0.558
   365    12    31  1998       8       8  hru8                   3.995   38614.387       0.000    2537.517      18.933       0.000       0.000       0.000       0.000       0.000       0.231       0.841       0.000      24.932      13.179      19.056      19.580       0.000       0.000       0.558
   365    12    31  1998       9       9  hru9                   4.035   39578.379       0.000    2615.244      18.320       0.000       0.000       0.000       0.000       0.000       0.325       0.548       0.000      23.776      12.536      18.156      19.580       0.000       0.000       0.530
   365    12    31  1998      10      10  hru10                  4.035   39578.379       0.000    2620.927      18.368       0.000       0.000       0.000       0.000       0.000       0.124       0.329       0.000      23.776      12.536      18.156      19.580       0.000       0.000       0.530
   365    12    31  1998      11      11  hru11                  4.035   39578.379       0.000    2605.267      18.369       0.000       0.000       0.000       0.000       0.000       0.100       0.167       0.000      23.776      12.536      18.156      19.580       0.000       0.000       0.530
   365    12    31  1998      12      12  hru12                  4.035   39578.379       0.000    2599.244      18.382       0.000       0.000       0.000       0.000       0.000       0.268       0.884       0.000      23.776      12.536      18.156      19.580       0.000       0.000       0.530
   365    12    31  1998      13      13  hru13                  4.085   31392.484       0.000    2053.050      21.704       0.000       4.647       0.000       0.000       0.000       0.136       0.397       0.000      30.922      15.821      23.371      19.580       0.000       0.000       0.675
   365    12    31  1998      14      14  hru14                  4.085   31392.484       0.000    2039.308      21.733       0.000       4.812       0.000       0.000       0.000       0.400       0.689       0.000      30.922      15.821      23.371      19.580       0.000       0.000       0.675
   365    12    31  1998      15      15  hru15                  4.085   31392.484       0.000    2053.050      21.704       0.000       4.647       0.000       0.000       0.000       0.136       0.397       0.000      30.922      15.821      23.371      19.580       0.000       0.000       0.675
   365    12    31  1998      16      16  hru16                  4.085   31392.484       0.000    2039.324      21.733       0.000       4.810       0.000       0.000       0.000       0.400       0.688       0.000      30.922      15.821      23.371      19.580       0.000       0.000       0.675
   365    12    31  1999       1       1  hru1                   4.548  188141.047       0.000    2007.910      16.982       0.000       0.000       0.000       0.000       0.000       0.163      19.027       0.000      23.048      10.006      16.527      19.695       0.000       0.000       0.505
   365    12    31  1999       2       2  hru2                   4.548  188141.047       0.000    2007.910      16.982       0.000       0.000       0.000       0.000       0.000       0.163      19.027       0.000      23.048      10.006      16.527      19.695       0.000       0.000       0.505
   365    12    31  1999       3       3  hru3                   1.537   88571.562       0.000    3478.464      17.017       0.000       0.000       0.000       0.000       0.000       0.265      30.355       0.000      23.048      10.006      16.527      19.695       0.000       0.000       0.505
   365    12    31  1999       4       4  hru4                   1.537   88571.562       0.000    3478.685      17.007       0.000       0.000       0.000       0.000       0.000       0.339       9.557       0.000      23.048      10.006      16.527      19.695       0.000       0.000       0.505
   365    12    31  1999       5       5  hru5                   3.259   88098.930       0.000    2562.966      18.767       0.000       0.000       0.000       0.000       0.000       0.116       0.070       0.000      26.335      12.808      19.572      19.580       0.000       0.000       0.588
   365    12    31  1999       6       6  hru6                   3.259   88098.930       0.000    2560.631      18.771       0.000       0.000       0.000       0.000       0.000       0.073       0.092       0.000      26.335      12.808      19.572      19.580       0.000       0.000       0.588
   365    12    31  1999       7       7  hru7                   3.259   88098.930       0.000    2560.600      18.773       0.000       0.000       0.000       0.000       0.000       0.073       0.101       0.000      26.335      12.808      19.572      19.580       0.000       0.000       0.588
   365    12    31  1999       8       8  hru8                   3.259   88098.930       0.000    2564.240      18.761       0.000       0.000       0.000       0.000       0.000       0.170       0.019       0.000      26.335      12.808      19.572      19.580       0.000       0.000       0.588
   365    12    31  1999       9       9  hru9                   3.375   94116.195       0.000    3418.466      17.818       7.625       0.000       0.000       0.000       0.000       0.217       0.133       0.000      24.651      12.087      18.369      19.580       0.000       0.000       0.549
