 hru1                      SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et       tloss      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   365    12    31  2002       1       1  hru1                1765.713       0.000       0.000     175.863      37.421     213.285      61.881    1455.202       0.000     589.247       0.711     175.887      59.698     226.499     392.320     254.058      72.863       0.000       0.000       0.000    1500.815       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2002       2       2  hru2                1765.713       0.000       0.000     175.845      37.421     213.266      61.881    1455.202       0.000     589.247       0.711     175.887      59.698     226.499     392.320     254.058      72.863       0.000       0.000       0.000    1500.815       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2002       3       3  hru3                1765.713       0.000       0.000     534.128      65.314     599.442     105.423    1027.085       0.000     610.234      33.852     534.128      81.593     226.499     394.611     336.411     104.215       0.000       0.000       0.000    1500.815       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2002       4       4  hru4                1765.713       0.000       0.000     175.722     486.493     662.215      47.225    1027.038       0.000     610.234      33.806     175.722      63.954     226.499     362.170     288.496      76.936       0.000       0.000       0.000    1500.815       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2002       5       5  hru5                1329.092       0.000       0.000     132.990       4.148     137.137      22.128    1123.442       0.000     769.775      44.312     133.116      68.167      95.372     326.680     197.937      41.511       0.000       0.000       0.000    1709.126       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2002       6       6  hru6                1329.092       0.000       0.000     130.574      10.961     141.534      21.072    1121.155       0.000     767.547      44.253     130.590      67.972      92.988     319.392     192.677      41.371       0.000       0.000       0.000    1709.126       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2002       7       7  hru7                1329.092       0.000       0.000     136.180       3.309     139.489      22.417    1121.743       0.000     768.123      44.264     136.284      68.358      92.988     319.725     194.137      41.598       0.000       0.000       0.000    1709.126       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2002       8       8  hru8                1329.092       0.000       0.000     131.096       5.133     136.228      22.024    1124.066       0.000     770.366      44.345     131.220      68.062      96.394     329.627     199.477      43.367       0.000       0.000       0.000    1709.126       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2002       9       9  hru9                1528.922       0.000       0.000     137.735     191.804     329.539      16.637    1141.113       0.000     719.776      34.979     137.734      58.085      96.394     301.810     202.947      47.019       0.000       0.000       0.000    1602.263       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2002      10      10  hru10               1528.922       0.000       0.000     295.753       5.566     301.319      34.153    1148.954       0.000     727.589      35.006     295.810      73.632      92.988     315.240     216.209      49.799       0.000       0.000       0.000    1602.263       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2002      11      11  hru11               1528.922       0.000       0.000     287.879       5.101     292.980      33.606    1157.818       0.000     703.991      33.635     287.937      73.546      92.988     315.350     215.876      49.522       0.000       0.000       0.000    1602.263       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2002      12      12  hru12               1528.922       0.000       0.000     274.163      10.123     284.286      35.599    1162.149       0.000     708.288      33.670     274.198      64.474      96.394     330.665     225.572      52.405       0.000       0.000       0.000    1602.263       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2002      13      13  hru13               1753.159       0.000       0.000     284.769       3.499     288.268      31.862    1401.194       0.000     918.207      80.786     284.775      72.668      92.988     252.208     194.862      46.435       0.000       0.000       0.000    2079.926       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2002      14      14  hru14               1753.159       0.000       0.000     272.676       5.048     277.725      36.284    1404.938       0.000     921.552      81.186     272.676      64.319      95.032     266.157     204.171      53.282       0.000       0.000       0.000    2079.926       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2002      15      15  hru15               1753.159       0.000       0.000     284.770       3.499     288.269      31.862    1401.194       0.000     918.207      80.786     284.775      72.668      92.988     252.208     194.862      46.435       0.000       0.000       0.000    2079.926       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2002      16      16  hru16               1753.159       0.000       0.000     272.163       5.669     277.832      36.235    1404.908       0.000     921.521      81.186     272.163      64.296      95.032     266.016     204.109      53.257       0.000       0.000       0.000    2079.926       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
