 hru1                      SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et       tloss      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   365    12    31  1998       1       1  hru1                1992.700       0.000       0.000     470.049      78.593     548.642     123.650    1322.921       0.000     339.401       3.153     470.049      81.463     226.499     223.828     352.393     113.840       0.000       0.000       0.000    1322.429       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1998       2       2  hru2                1992.700       0.000       0.000     470.049      78.593     548.642     123.650    1322.921       0.000     339.401       3.153     470.049      81.463     226.499     223.828     352.393     113.840       0.000       0.000       0.000    1322.429       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1998       3       3  hru3                1992.700       0.000       0.000     514.516      63.269     577.784     103.624    1352.638       0.000     677.637      56.689     514.516      79.959     226.499     185.134     335.306      98.870       0.000       0.000       0.000    1322.429       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1998       4       4  hru4                1992.700       0.000       0.000     176.315     513.787     690.102      49.685    1352.468       0.000     677.637      56.519     176.314      63.563     226.499     126.943     290.169      71.172       0.000       0.000       0.000    1322.429       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1998       5       5  hru5                1641.300       0.000       0.000     227.791       4.112     231.903      21.188    1483.582       0.000     955.017      60.063     227.791      68.436      95.372       0.000     171.189      34.839       0.000       0.000       0.000    1547.167       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1998       6       6  hru6                1641.300       0.000       0.000     227.322      11.160     238.482      20.785    1475.021       0.000     946.699      59.820     227.322      68.466      92.988       0.000     165.573      34.885       0.000       0.000       0.000    1547.167       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1998       7       7  hru7                1641.300       0.000       0.000     232.805       3.261     236.065      21.314    1476.910       0.000     948.532      59.876     232.804      68.614      92.988       0.000     166.607      35.054       0.000       0.000       0.000    1547.167       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1998       8       8  hru8                1641.300       0.000       0.000     225.253       5.144     230.397      21.233    1486.064       0.000     957.467      60.096     225.253      68.346      96.394       0.000     173.177      36.109       0.000       0.000       0.000    1547.167       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1998       9       9  hru9                1796.600       0.000       0.000     217.424     171.976     389.400      13.465    1484.496       0.000     870.288      55.020     217.424      56.572      96.394       5.633     174.951      43.709       0.000       0.000       0.000    1471.604       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1998      10      10  hru10               1796.600       0.000       0.000     354.435       3.641     358.076      20.534    1503.645       0.000     889.462      54.996     354.435      69.602      92.988       7.332     188.169      45.052       0.000       0.000       0.000    1471.604       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1998      11      11  hru11               1796.600       0.000       0.000     357.715       3.373     361.088      20.382    1499.777       0.000     854.347      51.137     357.715      69.730      92.988       8.341     188.900      45.362       0.000       0.000       0.000    1471.604       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1998      12      12  hru12               1796.600       0.000       0.000     347.270       6.809     354.079      21.684    1499.784       0.000     854.347      51.144     347.269      59.791      96.394      17.448     198.212      47.025       0.000       0.000       0.000    1471.604       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1998      13      13  hru13               2171.200       0.000       0.000     368.710       2.670     371.380      23.137    1848.916       0.000    1066.991     114.446     368.710      69.333      92.988      20.756     162.067      36.105       0.000       0.000       0.000    1972.005       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1998      14      14  hru14               2171.200       0.000       0.000     354.106       4.094     358.200      27.109    1859.948       0.000    1076.578     115.891     354.106      60.213      95.032      20.975     171.667      41.565       0.000       0.000       0.000    1972.005       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1998      15      15  hru15               2171.200       0.000       0.000     368.710       2.670     371.380      23.137    1848.916       0.000    1066.991     114.446     368.710      69.333      92.988      20.756     162.067      36.105       0.000       0.000       0.000    1972.005       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1998      16      16  hru16               2171.200       0.000       0.000     353.702       4.600     358.302      27.077    1859.878       0.000    1076.508     115.891     353.701      60.205      95.032      20.975     171.626      41.554       0.000       0.000       0.000    1972.005       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1999       1       1  hru1                1711.400       0.000       0.000     147.257      33.459     180.716      56.961    1515.460       0.000     612.310       0.176     147.257      58.516     226.499     182.250     276.023      67.795       0.000       0.000       0.000    1515.284       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1999       2       2  hru2                1711.400       0.000       0.000     147.257      33.459     180.716      56.961    1515.460       0.000     612.310       0.176     147.257      58.516     226.499     182.250     276.023      67.795       0.000       0.000       0.000    1515.284       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1999       3       3  hru3                1711.400       0.000       0.000     435.609      57.863     493.472      92.961     982.753       0.000     608.199      30.603     435.609      79.573     226.499     327.149     321.725      99.877       0.000       0.000       0.000    1515.284       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1999       4       4  hru4                1711.400       0.000       0.000     142.128     401.356     543.485      39.276     982.752       0.000     608.199      30.603     142.128      62.055     226.499     272.543     270.328      75.536       0.000       0.000       0.000    1515.284       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1999       5       5  hru5                1415.300       0.000       0.000      16.712       0.421      17.133       0.915    1385.157       0.000     940.949      16.616      16.711      62.169      95.372      12.096     109.599      28.219       0.000       0.000       0.000    1691.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1999       6       6  hru6                1415.300       0.000       0.000      16.713       1.811      18.524       2.405    1382.275       0.000     938.120      16.563      16.713      62.426      92.988      12.096     107.924      28.218       0.000       0.000       0.000    1691.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1999       7       7  hru7                1415.300       0.000       0.000      16.713       0.544      17.257       2.620    1383.327       0.000     939.172      16.563      16.713      62.459      92.988      12.096     108.550      28.218       0.000       0.000       0.000    1691.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1999       8       8  hru8                1415.300       0.000       0.000      16.711       0.426      17.138       0.178    1385.262       0.000     940.947      16.723      16.711      62.074      96.394      12.723     110.084      29.305       0.000       0.000       0.000    1691.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1999       9       9  hru9                1529.500       0.000       0.000       0.801      60.250      61.052       1.172    1287.112       0.000     783.420       9.801       0.801      50.394      96.394     182.519      95.940      30.883       0.000       0.000       0.000    1573.585       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1999      10      10  hru10               1529.500       0.000       0.000      27.450       1.645      29.095       9.307    1307.164       0.000     803.335       9.938      27.450      64.114      92.988     191.248     105.525      30.337       0.000       0.000       0.000    1573.585       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1999      11      11  hru11               1529.500       0.000       0.000      26.681       1.513      28.194       9.209    1310.189       0.000     772.008       9.589      26.681      64.147      92.988     190.233     105.761      30.356       0.000       0.000       0.000    1573.585       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1999      12      12  hru12               1529.500       0.000       0.000       3.311       3.098       6.410       9.789    1331.834       0.000     793.501       9.741       3.311      52.746      96.394     198.867     112.316      31.963       0.000       0.000       0.000    1573.585       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1999      13      13  hru13               1647.100       0.000       0.000       8.174       0.585       8.758       4.557    1571.191       0.000    1008.239      55.302       8.173      62.454      92.988      83.349      77.840      27.103       0.000       0.000       0.000    2054.649       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1999      14      14  hru14               1647.100       0.000       0.000       0.173       0.791       0.964       4.957    1576.913       0.000    1013.753      55.510       0.172      50.673      95.032      85.240      80.057      28.598       0.000       0.000       0.000    2054.649       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1999      15      15  hru15               1647.100       0.000       0.000       8.174       0.585       8.758       4.557    1571.191       0.000    1008.239      55.302       8.173      62.454      92.988      83.349      77.840      27.103       0.000       0.000       0.000    2054.649       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  1999      16      16  hru16               1647.100       0.000       0.000       0.173       0.888       1.061       4.943    1576.830       0.000    1013.670      55.510       0.172      50.671      95.032      85.240      80.035      28.598       0.000       0.000       0.000    2054.649       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2000       1       1  hru1                1473.600       0.000       0.000       0.357       0.299       0.656       0.000    1432.445       0.000     642.008       0.086       0.357      40.491     226.499     222.749      64.342      33.474       0.000       0.000       0.000    1661.447       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2000       2       2  hru2                1473.600       0.000       0.000       0.357       0.299       0.656       0.000    1432.445       0.000     642.008       0.086       0.357      40.491     226.499     222.749      64.342      33.474       0.000       0.000       0.000    1661.447       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2000       3       3  hru3                1473.600       0.000       0.000     391.258      48.215     439.473      79.257     932.806       0.000     630.303      31.793     391.257      73.688     226.499     348.996     307.988      89.502       0.000       0.000       0.000    1661.447       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2000       4       4  hru4                1473.600       0.000       0.000     118.200     358.297     476.497      34.252     932.787       0.000     630.303      31.774     118.199      60.870     226.499     299.766     263.827      72.860       0.000       0.000       0.000    1661.447       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2000       5       5  hru5                1182.300       0.000       0.000      32.768       0.977      33.745       4.038     837.259       0.000     594.972      52.903      32.783      63.799      95.372     319.253     176.444      42.824       0.000       0.000       0.000    1881.897       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2000       6       6  hru6                1182.300       0.000       0.000      38.130       2.677      40.807       4.082     837.259       0.000     594.971      52.904      38.131      63.950      92.988     312.010     175.828      42.840       0.000       0.000       0.000    1881.897       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2000       7       7  hru7                1182.300       0.000       0.000      39.510       0.774      40.284       4.136     837.259       0.000     594.971      52.904      39.523      63.977      92.988     312.635     176.131      42.875       0.000       0.000       0.000    1881.897       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2000       8       8  hru8                1182.300       0.000       0.000      29.977       1.254      31.231       3.972     837.791       0.000     595.481      52.926      29.991      63.735      96.394     321.907     176.598      44.989       0.000       0.000       0.000    1881.897       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2000       9       9  hru9                1414.200       0.000       0.000     109.924     209.711     319.635      17.850     948.412       0.000     650.129      41.629     109.924      59.958      96.394     310.250     232.283      51.860       0.000       0.000       0.000    1745.006       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2000      10      10  hru10               1414.200       0.000       0.000     297.547       6.421     303.968      39.694     948.412       0.000     650.129      41.629     297.549      75.809      92.988     313.302     245.957      56.762       0.000       0.000       0.000    1745.006       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2000      11      11  hru11               1414.200       0.000       0.000     281.671       5.839     287.510      38.789     964.352       0.000     636.448      40.779     281.672      75.363      92.988     313.714     244.131      55.535       0.000       0.000       0.000    1745.006       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
